toraj	torej
in	in
na	na
jesik	jezik
dajati	dajati
.	.
to	to
ni	ni
v	v
môji	moji
oblaſti	oblasti
,	,
zhe	če
zhem	hočem
umreti	umreti
ali	ali
ne	ne
.	.
ptujiz	tujec
.	.
)	)
kjer	kjer
bi	bi
pa	pa
imeli	imeli
perhodnimu	prihodnjemu
obdelovanju	obdelovanju
na	na
pot	poti
biti	biti
,	,
ali	ali
de	da
ſo	so
le	le
majhni	majhni
isviri	izviri
odtozhiti	odtočiti
,	,
je	je
koriſtno	koristno
grabne	grabne
sakriti	zakriti
.	.
ſaj	saj
vidiſh	vidiš
,	,
de	da
je	je
táſhiza	taščica
bila	bila
fantovo	fantovo
nar_vezhi	največje
veſelje	veselje
.	.
ti	ti
grosovitni	grozovitni
trinogi	trinogi
,	,
ne	ne
porajtajo	porajtajo
vezh	več
na	na
obenu	nobeno
vſmilenje	usmiljenje
.	.
herod	herod
rezhe	reče
tedaj	tedaj
janesa	janeza
vkleni	vkleni
,	,
ino	in
ga	ga
v'	v
jezho	ječo
pahne	pahne
.	.
zhe	če
drugi	drugi
okrog	okrog
vaſ	vas
ſhverkajo	švrkajo
in	in
burke	burke
vganjajo	uganjajo
vsamiti	vzemite
bukvize	bukvice
v	v
roko	roko
in	in
poglejte	poglejte
va-nje	vanje
;	;
pojdite	pojdite
v	v
ſhtalo	štalo
ali	ali
pa	pa
konja	konja
sa	za
pod	pod
peljite	peljite
,	,
kjer	kjer
imate	imate
pokoj	pokoj
;	;
pridno	pridno
ſe	se
med	med
ſeboj	seboj
vadite	vadite
in	in
dobro	dobro
premiſlite	premislite
,	,
de	da
lé	le
ta	ta
konje	konje
dobro	dobro
posná	pozna
,	,
kdor	kdor
ſe	se
jih	jih
je	je
ſposnavati	spoznavati
uzhil	učil
.	.
satorej	zatorej
kmetvauz	kmetovalec
ne	ne
bodi	bodi
jim	jim
ſovrashnik	sovražnik
,	,
zhe	če
ſi	si
od	od
perhranjene	prihranjene
fruge	fruge
kaj	kaj
maliga	malega
polaſtijo	polastijo
.	.
branje	branje
is	iz
2.	2.
piſma	pisma
s.	s.
paula	pavla
apoſtelna	apostola
na	na
korintharje	korinčane
na	na
11.	11.
inu	in
12.	12.
poſtavi	postavi
.	.
2.	2.
sakaj	zakaj
tvoji	tvoji
jógri	jogri
preſtópajo	prestopajo
tó	to
isrozhenje	izročenje
tih	teh
ſtariſhih	starejših
?	?
sdaj	zdaj
grôf	grof
,	,
ſvoje	svoje
ljudí	ljudi
ſkup	skupaj
klizaje	klicaje
,	,
v	v
ſvoj	svoj
ſreberni	srebrni
róg	rog
satróbi	zatrobi
,	,
de	da
ſe	se
glaſno	glasno
buzhénje	bučanje
po	po
ſkalovji	skalovju
raslega	razlega
.	.
nęshka	nežka
.	.
35.	35.
de	da
bi	bi
ſe	se
dopólnilu	dopolnilo
,	,
kar	kar
je	je
govorjenu	govorjeno
ſkuſi	skozi
preróka	preroka
,	,
kir	ki
pravi	pravi
:	:
jeſt	jaz
v	v
mokrim	mokrem
ſe	se
ſizer	sicer
pazká	packa
,	,
kmalo	kmalu
pa	pa
,	,
ko	ko
ſe	se
oſahne	osahne
,	,
ſe	se
sdrobi	zdrobi
;	;
satorej	zatorej
ji	ji
ne	ne
ſhkodje	škoduje
,	,
ako	ako
bi	bi
bila	bila
v	v
mokrim	mokrem
rasorana	razorana
.	.
podnevi	podnevi
ino	in
ponozhi	ponoči
ni	ni
imel	imel
pokoja	pokoja
.	.
matizhek	matiček
,	,
shushek	žužek
,	,
jęrza	jerca
.	.
potle	potlej
ga	ga
sręshi	zreži
na	na
koſze	kosce
,	,
perſtavi	pristavi
ga	ga
v'	v
kosi	kozi
s'	s
zhernim	črnim
vinam	vinom
,	,
enmalo	en_malo
jęſiham	jesihom
,	,
ſtolzhenim	stolčenim
prepezhenim	prepečenim
kruham	kruhom
,	,
drobno	drobno
ſękanim	sekanim
zheſnam	česnom
,	,
resinami	rezinami
od	od
lemon	limon
lupka	olupka
,	,
ſtolzhenim	stolčenimi
nagelshbizami	nageljnovimi_žbicami
,	,
enim	enim
koſzam	koscem
v'	v
moki	moki
povalaniga	povaljanega
putra	putra
,	,
enim	enim
koſzam	koscem
zukra	cukra
;	;
kader	kadar
ſkup	skupaj
vrè	vre
,	,
pokrov	pokrov
gori	gor
deni	deni
.	.
plazhujejo	plačujejo
ſe	se
v	v
piſarnizi	pisarnici
z.	c.
k.	k.
kmetijſke	kmetijske
drushbe	družbe
v	v
hiſhi	hiši
195	195
v	v
‚	‚
şalendrovi	salendrovi
ulizi	ulici
bliso	blizu
brega	brega
;	;
sa	za
ljubljano	ljubljano
in	in
sa	za
tiſte	tiste
,	,
ki	ki
jih	jih
ne	ne
dobivajo	dobivajo
po	po
póſhti	pošti
,	,
sa	za
zélo	celo
leto	leto
s	z
2	2
fl.	fl.
,	,
—	—
sa	za
pol	pol
leta	leta
s	z
1	1
fl.	fl.
;	;
prejemljejo	prejemajo
ſe	se
pa	pa
pri	pri
natiſkovavzu	natiskovalcu
na	na
bregu	bregu
nr.	nr.
190.	190.
po	po
poſhti	pošti
veljajo	veljajo
sa	za
zelo	celo
leto	leto
2	2
fl.	fl.
3o	30
kr.	kr.
,	,
—	—
sa	za
pol	pol
léta	leta
1	1
fl.	fl.
15	15
kr.	kr.
po	po
vſih	vseh
z.	c.
k	k
poſhtah	poštah
ſe	se
snajo	znajo
dobiti	dobiti
.	.
she	še
druge	druge
ſorte	sorte
ilovnata	ilovnata
semlja	zemlja
je	je
sgolj	zgolj
iloviza	ilovica
ali	ali
lonzharſka	lončarska
perſt	prst
imenovana	imenovana
.	.
nekidan	nekidan
je	je
bil	bil
en	en
vinograd	vinograd
pod	pod
ſkalo	skalo
bledſkiga	blejskega
grada	grada
,	,
ſe	se
ſhe	še
dandanaſhni	dandanašnji
„	„
vinograd	vinograd
”	”
imenuje	imenuje
,	,
inu	in
obdivjane	obdivjane
terte	trte
ſame	same
raſtejo	rastejo
,	,
kér	ker
jih	jih
nihzhe	nihče
ne	ne
obreshe	obreže
.	.
oh	oh
,	,
to	to
pak	pa
ne	ne
;	;
pravijo	pravijo
,	,
de	da
ni	ni
lepú	lepo
.	.
kakor	kakor
hitro	hitro
je	je
zhiſta	čista
goſpa	gospa
to	to
sapasila	zapazila
,	,
mu	mu
jesno	jezno
in	in
reſno	resno
rezhe	reče
:	:
„	„
şe	se
li	li
ne	ne
ſramujeſh	sramuješ
ti	ti
lahkomiſelni	lahkomiselni
ſlushabnik	služabnik
,	,
takih	takih
miſel	misli
in	in
jih	jih
meni	meni
rasodevati	razodevati
?	?
tudi	tudi
ovzé	ovce
imajo	imajo
na	na
ſenzhnih	senčnih
in	in
srazhnih	zračnih
kritjih	kritjih
biti	biti
in	in
goniti	goniti
ſe	se
ne	ne
ſmejo	smejo
.	.
35.	35.
inu	in
on	on
je	je
sapovędal	zapovedal
mnóshizi	množici
na	na
sęmlo	zemljo
ſęſti	sesti
.	.
v'	v
kar	kar
sa	za
enim	enem
ſtani	stanu
koli	koli
ſe	se
snajdemo	znajdemo
,	,
ali	ali
kamer_ſe_koli	kamorkoli
ſe	se
ganemo	ganemo
,	,
povſod	povsod
najdemo	najdemo
perloshnoſt	priložnost
sa	za
ſkuſhnjave	skušnjave
,	,
inu	in
ſovrashnike	sovražnike
sa	za
premagati	premagati
.	.
23.	23.
jesuſovi	jezusovi
nauki	nauki
v'	v
prilikah	prilikah
.	.
”	”
dihne	dihne
va-nje	vanje
,	,
ino	in
ſhe	še
rezhe	reče
:	:
„	„
prejmite	prejmite
ſvetiga	svetega
duha	duha
.	.
17.	17.
ony	oni
pak	pa
rekó	rečejo
k'	k
njemu	njemu
:	:
my	mi
tukaj	tukaj
nimamo	nimamo
vezh	več
kakòr	kakor
pęt	pet
kruhov	kruhov
,	,
inu	in
dvę	dve
ribi	ribi
.	.
˛spredej	spredaj
je	je
morje	morje
,	,
po	po
obéh	obeh
ſtranéh	straneh
ſtermo	strmo
pezhevje	pečevje
,	,
sadej	zadaj
ſovrashnik	sovražnik
.	.
ali	ali
ne	ne
vidiſh	vidiš
,	,
de	da
leta	le-ta
zhlovek	človek
vſe_ſkusi	vseskozi
per	pri
vinu	vinu
tèzhy	tiči
,	,
de	da
je	je
en	en
kvartapęrz	kvartopirec
,	,
inu	in
taku	tako
nagle	nagle
jęse	jeze
,	,
de	da
bi	bi
vſe	vse
pobyl	pobil
.	.
drusiga	drugega
,	,
kakor	kakor
dvé	dve
verſti	vrsti
na	na
mózhne	močne
podpráge	podproge
terdno	trdno
perbitih	pribitih
shelésnih	železnih
ſhin	šin
,	,
toliko	toliko
ſhiroko	široko
vſah	vsak
ſêbi	sebi
,	,
kolikor	kolikor
je	je
sa	za
velik	velik
vos	voz
ſhirjave	širjave
potreba	potreba
;	;
po	po
teh	teh
ſhinah	šinah
derzhijo	drčijo
vosovi	vozovi
sa_tó	zato
na_laſh	nalašč
narejeni	narejeni
.	.
oſhtir	oštir
s	z
bokalam	bokalom
po	po
talianſhini	italijanšini
diſhi	diši
,	,
birt	birt
s	s
firtljem	firtljem
pa	pa
po	po
nemſhini	nemščini
.	.
od_kar	odkar
ſo	so
nehali	nehali
ilirſke	ilirske
pokrajne	pokrajine
ropati	ropati
,	,
poshigati	požigati
in	in
njih	njih
prebivavze	prebivalce
v	v
ſushnoſt	sužnost
odpeljavati	odpeljevati
,	,
ſo	so
sazhele	začele
te	te
deshele	dežele
,	,
bolj	bolj
obdelováne	obdelovane
,	,
obilniſhi	obilneje
roditi	roditi
,	,
ljudje	ljudje
ſo	so
ſe	se
pomnoshili	pomnožili
,	,
vſe	vse
ſe	se
je	je
boljſhi	boljše
pozhutilo	počutilo
.	.
xxiii	xxiii
.	.
)	)
s	z
domazho	domačo
ſolijo	soljo
takó	tako
,	,
de	da
na	na
vſaki	vsak
zènt	cent
ſená	sena
okól	okoli
6	6
lotov	lotov
ſoli	soli
pride	pride
.	.
o	o
,	,
boleſlav	boleslav
,	,
oſtani	ostani
dober	dober
!	!
velika	velika
mnoshiza	množica
gledavzov	gledalcev
ſe	se
po	po
vſih	vseh
potih	poteh
okoli	okoli
njega	njega
drenja	drenja
,	,
koder	koder
ſe	se
vali	vali
,	,
ter	ter
ſtermé	strme
gledajo	gledajo
poboshniga	pobožnega
moshá	moža
.	.
vaſha	vaša
shaloſt	žalost
;	;
ſe	se
bo	bo
v'	v
veſelje	veselje
ſpremenila	spremenila
;	;
ſpet	spet
ſe	se
bomo	bomo
vídili	videli
,	,
vaſhe	vaše
ſerze	srce
ſe	se
bo	bo
veſelilo	veselilo
,	,
ino	in
nihzhe	nihče
vezh	več
vam	vam
vaſhiga	vašega
veſelja	veselja
ne	ne
bo	bo
mogel	mogel
odvseti	odvzeti
.	.
goſpá	gospa
.	.
pojdite	pojdite
po	po
njih	njih
poglavitniſhih	poglavitnejših
pokrajnah	pokrajinah
,	,
in	in
vi	vi
jih	jih
bote	boste
naſhli	našli
,	,
kakor	kakor
lepó	lepo
obdelane	obdelane
verte	vrtove
.	.
“	“
—	—
potlej	potlej
rezhe	reče
:	:
„	„
shéjin	žejen
ſim	sem
!	!
domazhe	domače
povéſti	povesti
.	.
oní	oni
bodo	bodo
lohka	lahko
saſtopíli	zastopili
,	,
de	da
ſe	se
je	je
tukej	tukaj
matizhek	matiček
al	ali
na_laſh	nalašč
,	,
al	ali
sa_ręſs	zares
prepiſsal	prepisal
.	.
ti	ti
se	si
tvojega	tvojega
ozheta	očeta
vezhne	večni
syn	sin
;	;
shofka	žofka
popròſi	poprosi
goſpodizhne	gospodične
,	,
naj	naj
bi	bi
vſe	vse
tri	tri
v'	v
njeni	njen
majhen	majhen
vertez	vrtec
poglédale	pogledale
.	.
gamogozhni	gamogočni
,	,
ſim	sem
jeſt	jaz
tebe	tebe
vſliſhal	uslišal
;	;
inu	in
na	na
dan	dan
tiga	tega
isvelizhanja	zveličanja
ſim	sem
jeſt	jaz
tebi	tebi
pomagal	pomagal
(	(
ii.	ii.
kor.	kor.
6	6
,	,
2.	2.
isa.	iza.
29.	29.
on	on
pak	pa
je	je
djal	dejal
:	:
pridi	pridi
.	.
chriſte	kristus
uſhliſhi	usliši
naſs	nas
.	.
oblak	oblak
jih	jih
je	je
perpèljal	pripeljal
v'	v
dolíno	dolino
sraven	zraven
rudézhiga	rdečega
morja	morja
.	.
33.	33.
katęri	kateri
pak	pa
bó	bo
mene	mene
pred	pred
ludmy	ljudmi
satajil	zatajil
,	,
tęga	tega
bóm	bom
tudi	tudi
jeſt	jaz
satajil	zatajil
pred	pred
mojim	mojim
ozhętam	očetom
,	,
katęri	kateri
je	je
v'	v
nebęſsih	nebesih
.	.
)	)
bódite	bodite
tèdaj	tedaj
ràsumni	razumni
kakòr	kakor
kazhe	kače
,	,
inu	in
prepóſti	preposti
kakòr	kakor
golóbi	golobi
.	.
sakaj	zakaj
mi	mi
vęmo	vemo
,	,
de	da
uſſaka	vsaka
ſtvar	stvar
sdihuje	izdihuje
,	,
inu	in
teleſne	telesne
britkuſte	bridkosti
ima	ima
she	še
uſſelej	vselej
.	.
s'	z
jesuſam	jezusom
ſta	sta
ſe	se
pogovarjala	pogovarjala
,	,
kako	kako
ſe	se
bo	bo
v'	v
jerusalemu	jeruzalemu
s'	z
njim	njim
isſhlo	izšlo
.	.
35.	35.
sakaj	zakaj
jeſt	jaz
ſim	sem
priſhàl	prišel
ràsdvojiti	razdvojiti
zhlovęka	človeka
zhes	čez
ſvojga	svojega
ozhęta	očeta
,	,
inu	in
hzhęr	hčer
zhes	čez
ſvojo	svojo
mater	mater
,	,
inu	in
nevęſto	nevesto
zhes	čez
ſvojo	svojo
taſho	taščo
:	:
nęshka	nežka
.	.
pet	pet
jih	jih
je	je
bilo	bilo
trapaſtih	trapastih
,	,
pet	pet
pa	pa
pametnih	pametnih
.	.
ſe	se
savolj	zavolj
njih	njih
prevelika	prevelika
ſoparza	soparica
delala	delala
,	,
in	in
okna	okna
ſe	se
mórajo	morajo
s	z
selenimi	zelenimi
vejami	vejami
saplêſti	zaplesti
,	,
de	da
ſolnze	sonce
prevezh	preveč
v	v
hlev	hlev
ne	ne
ſije	sije
,	,
odpri	odpri
okna	okna
in	in
vrata	vrata
in	in
poſtavi	postavi
kak	kak
ſhkaf	škaf
vode	vode
v	v
hlev	hlev
,	,
de	da
ga	ga
hladi	hladi
.	.
ker	ker
te	te
ſorte	sorte
semlja	zemlja
sa	za
kmetijſko	kmetijsko
delo	delo
perpravna	pripravna
ni	ni
,	,
ſe	se
da	da
popraviti	popraviti
,	,
zhe	če
ſe	se
ji	ji
mozhvir	močvir
odtozhi	odtoči
,	,
zhe	če
ſe	se
s	z
shganim	žganim
apnam	apnom
in	in
s	s
pepelam	pepelom
potréſe	potrese
,	,
zhe	če
ſe	se
poshiga	požiga
.	.
vezh	več
ti	ti
ne	ne
bo	bo
rodila	rodila
,	,
kedar	kadar
jo	jo
boſh	boš
obdeloval	obdeloval
.	.
taiste	taista
,	,
katire	katera
imajo	imajo
ludji	ljudje
(	(
katiri	kateri
po	po
ſhellah	željah
svojega	svojega
meſſá	mesa
ſhivèe	žive
,	,
inu	in
so	so
od	od
duhovneh	duhovnih
boſhjeh	božjih
otrok	otrok
odpadli	odpadli
)	)
navado	navado
dapernashat	doprinašati
.	.
7.	7.
şkriti	skriti
odtoki	odtoki
morajo	morajo
v	v
odkrite	odkrite
grabne	grabne
,	,
pa	pa
ne	ne
krishama	križema
ſpeljani	speljani
biti	biti
.	.
”	”
˛se	se
bo	bo
rad	rad
od	od
piſkra	piskra
lozhil	ločil
.	.
polena	polena
dva	dva
-	-
,	,
ali	ali
pa	pa
ſhe	še
vezhkrat	večkrat
preshagajo	prežagajo
in	in
piſkre	piskre
ali	ali
lónze	lonce
okrog	okrog
ognja	ognja
poſtavijo	postavijo
.	.
tebe	tebe
spoſna	spozna
ta	ta
sveta	sveta
zirkuv	cerkev
po	po
usemu_volnemu	vesoljnem
svejtu	svetu
.	.
de	da
ne	ne
bo	bo
lahko	lahko
goljfán	ogoljufan
.	.
”	”
prihodno	prihodnje
jutro	jutro
gre	gre
minka	minka
,	,
pa	pa
ptuje	tuji
goſpodizhni	gospodični
dve	dve
s	z
’	’
njoj	njo
,	,
okolj	okoli
veſi	vasi
na	na
ſprehôd	sprehod
.	.
5.	5.
drugu	drugo
pak	pa
je	je
padlu	padlo
na	na
pezhovje	pečovje
,	,
kęr	ker
ny	ni
imęlu	imelo
veliku	veliko
pàrſty	prsti
,	,
inu	in
je	je
sdajzi	zdajci
vùn	ven
pognalu	pognalo
,	,
kèr	ker
ny	ni
globoke	globoke
semle	zemlje
imęlu	imelo
.	.
po	po
kerſtu	krstu
ſtopi	stopi
jesuſ	jezus
is	iz
reke	reke
ino	in
moli	moli
.	.
doklej	dokler
je	je
genovefa	genovefa
shivéla	živela
,	,
ſe	se
ne	ne
vé	ve
;	;
to	to
pa	pa
ſe	se
vé	ve
:	:
dokler	dokler
je	je
shivéla	živela
,	,
je	je
shivéla	živela
v	v
veſêlju	veselju
in	in
neisrezhèno	neizrečeno
veliko	veliko
dôbriga	dobrega
je	je
ſhe	še
ſtorila	storila
,	,
in	in
njén	njen
je	je
bolehnim	bolehnim
sdravilo	zdravilo
,	,
ſtarim	starim
masilo	mazilo
in	in
shaloſtnim	žalostnim
lék	lek
;	;
daje	daje
novo	novo
mozh	moč
vtrudedenimu	vtrudedenimu
ſodniku	sodniku
no	no
mertvizhenimu	mrtvičnemu
,	,
ko	ko
poſtane	postane
,	,
pevzu	pevcu
,	,
pa	pa
ſhe	še
bolj	bolj
oshivi	oživi
ſpotniga	spotenega
kovazha	kovača
;	;
vino	vino
rasvéshe	razveže
mutizu	mutcu
jések	jezik
,	,
omezhi	omeči
terdóbo	trdobo
ſerzá	srca
,	,
ga	ga
ogreje	ogreje
in	in
odpira	odpira
ljubesni	ljubezni
,	,
pogaſi	pogasi
ſhe	še
zlo	celo
hude	huda
ſovraſhtva	sovraštva
in	in
kervave	krvave
vojſke	vojske
in	in
ſklepa	sklepa
nove	nove
perjasnoſti	prijaznosti
;	;
vino	vino
poterdi	potrdi
dano	dano
obljubo	obljubo
,	,
ſtorjeno	storjeno
savéso	zavezo
in	in
dopovedani	dopovedani
kup	kup
.	.
)	)
)	)
bere	bere
ſe	se
,	,
de	da
na	na
némſhkim	nemškem
v	v
desheli	deželi
góta	gota
,	,
od	od
leta	leta
1845	1845
dalje	dalje
,	,
kmetovavzi	kmetovalci
ſvoje	svoje
govédi	govedi
ne	ne
bodo	bodo
na	na
paſho	pašo
goniti	goniti
ſméli	smeli
,	,
temuzh	temveč
domá	doma
jo	jo
bodo	bodo
le	le
ta	ta
je	je
ſposnal	spoznal
,	,
de	da
bres	brez
zéſt	cest
ni	ni
kupzhije	kupčije
,	,
—	—
bres	brez
kupzhije	kupčije
ni	ni
denára	denarja
.	.
34.	34.
inu	in
jęsus	jezus
rezhe	reče
k'	k
njim	njim
:	:
kóliku	koliko
kruhov	kruhov
imate	imate
?	?
5.	5.
inu	in
kadar	kadar
ſo	so
njegóvi	njegovi
jógri	jogri
na	na
uno	ono
ſtran	stran
morjá	morja
priſhli	prišli
,	,
ſo	so
posabili	pozabili
kruhe	kruhe
ſabo	s_sabo
vsęti	vzeti
.	.
ſhe	še
od	od
zepzov	cepcev
nam	nam
piſhejo	pišejo
v	v
naſhih	naših
novizah	novicah
!''	!''
od	od
kód	kod
bi	bi
ſe	se
kruha	kruha
dobilo	dobilo
sa	za
toliko	toliko
ſto	sto
jésar	jezer
ljudi	ljudi
?	?
6.	6.
ktéri	kateri
niſo	niso
bili	bili
na_nagloma	nanagloma
konzhani	končani
,	,
ampak	ampak
ſe	se
ſpét	spet
oshívé	ožive
ali	ali
ſe	se
kaj	kaj
savédo	zavedo
,	,
toshijo	tožijo
,	,
de	da
ſo	so
vſi	vsi
smamljeni	omamljeni
.	.
saſlushila	zaslužila
ga	ga
je	je
,	,
sakaj	zakaj
prijasne	prijazne
opomnize	opomnice
,	,
ki	ki
jih	jih
je	je
ona	ona
tebi	tebi
dala	dala
,	,
ſo	so
vezh	več
vredne	vredne
,	,
kakor	kakor
te	ta
perſtan	prstan
,	,
naj_ſi	najsi
je	je
ravno	ravno
is	iz
slata	zlata
ino	in
shlahnih	žlahtnih
kamenzov	kamenčkov
narét	naret
.	.
potlej	potlej
gre	gre
k'	k
ſvojimu	svojemu
goſpodu	gospodu
,	,
zhe	če
ga	ga
bo	bo
treba	treba
.	.
tok	tako
ſtojte	stojte
tedej	tedaj
opaſſani	opasani
okuli	okoli
vaſhih	vaših
ledjov	ledij
s'	z
resnizo	resnico
,	,
inu	in
oblezheni	oblečeni
s'	s
tim	tem
oklepam	oklepom
te	te
pravize	pravice
,	,
inu	in
obuti	obuti
na	na
nogah	nogah
k'	k
perpravi	pripravi
tega	tega
evangeliuma	evangelija
tega	tega
myru	miru
.	.
şpomlad	spomladi
koj	takoj
ſuhotna	suhotna
poſtane	postane
;	;
raſt	rast
na	na
nji	njej
poprej	poprej
poshêne	požene
;	;
tudi	tudi
ſad	sad
pred	pred
dosori	dozori
,	,
kakor	kakor
na	na
debéli	debeli
sêmlji	zemlji
.	.
saversite	zavrzite
tadaj	tedaj
majhne	majhne
pipize	pipice
s	s
kratkimi	kratkimi
zevkami	cevkami
,	,
ki	ki
ſo	so
tako	tako
sdravju	zdravju
ſhkodljive	škodljive
!	!
„	„
tudi	tudi
to	to
je	je
velika	velika
neſrezha	nesreča
,	,
pravi	pravi
katerza	katrca
;	;
alj	ali
rake	rake
rake	rake
poglejte	poglejte
,	,
kakſhni	kakšni
ſo	so
,	,
”	”
„	„
ino	in
,	,
rèzhejo	rečejo
ozhe	oče
,	,
jes	jaz
kaj	kaj
drugiga	drugega
ne	ne
vidim	vidim
,	,
ko	kot
kúhane	kuhane
rake	rake
,	,
kterim	katerim
ſo	so
vſi	vsi
kúhani	kuhani
raki	raki
podobni	podobni
.	.
tukaj	tukaj
vam	vam
bukve	bukve
podam	podam
,	,
ki	ki
vaſ	vas
imajo	imajo
uzhiti	učiti
,	,
kako	kako
imate	imate
s	s
konjem	konjem
v	v
dnovih	dnevih
sdravja	zdravja
in	in
bolesni	bolezni
ravnati'	ravnati'
'	'
5.	5.
od	od
istrébe	iztrebine
,	,
in	in
kako	kako
ſe	se
imá	ima
istréba	iztrebina
odpravljati	odpravljati
,	,
§	§
.	.
13.	13.
kęr	ker
je	je
pak	pa
jęsus	jezus
bil	bil
priſhàl	prišel
v'	v
kraje	kraje
cesareæ	cezareje
philippa	filipa
:	:
je	je
praſhal	vprašal
ſvoje	svoje
jógre	jogre
rekózh	rekoč
:	:
kdó	kdo
pravio	pravijo
ludję	ljudje
,	,
de	da
je	je
şyn	sin
tiga	tega
zhlovęka	človeka
?	?
inu	in
ti	ti
,	,
kaj	kaj
dęlaſh	delaš
tukaj	tukaj
?	?
glejte	glejte
,	,
osnanim	oznanim
vam	vam
veliko	veliko
veſelje	veselje
,	,
ktero	katero
sadene	zadene
vſe	vse
ljudſtvo	ljudstvo
.	.
—	—
sa_to	zato
je	je
dobro	dobro
:	:
voda	voda
od	od
kvaſú	kvasa
,	,
—	—
jeſih	jesih
s	z
vodó	vodo
—	—
selniza	zelnica
,	,
—	—
smezhkano	zmečkano
kiſlo	kislo
ſadjè	sadje
,	,
poſtavim	postavim
:	:
nesrélo	nezrelo
ſadje	sadje
,	,
ſhe	še
bólje	bolje
je	je
pa	pa
hudizhevo	hudičevo
ólje	olje
(	(
vitriol	vitriol
)	)
,	,
kteriga	katerega
ſe	se
nektere	nekatere
kápljize	kapljice
med	med
veliko	veliko
vôde	vode
vlije	vlije
.	.
sakaj	zakaj
nam	nam
ſe	se
je	je
vojskuvati	vojskovati
nikar	nikar
s'	z
meſſam	mesom
,	,
inu	in
kryvjo	krvjo
:	:
ampak	ampak
super	zoper
vajvode	vojvode
,	,
inu	in
oblaſtnike	oblastnike
,	,
super	zoper
visharje	višarje
tega	tega
ſvejta	sveta
leteh	le-teh
tem	tem
super	zoper
te	te
hudobne	hudobne
duhove	duhove
pod	pod
nebam	nebom
.	.
nékiga	nekega
jutra	jutra
je	je
dvoje	dvoje
ur	ur
prav	prav
mirno	mirno
in	in
ſladko	sladko
sadremala	zadremala
.	.
um	um
nima	nima
per	pri
viri	veri
drugega	drugega
oppravet	opraviti
,	,
koker	kakor
de	da
pervoly	privoli
.	.
„	„
o	o
predobra	predobra
prijatelza	prijateljica
,	,
je	je
djala	dejala
shofka	žofka
,	,
komu	komu
bi	bi
ne	ne
bilo	bilo
potreba	potreba
ſe	se
tvojih	tvojih
dolshnoſti	dolžnosti
ſpomniti	spomniti
!	!
hudo	hudo
je	je
ſ-hujſhala	shujšala
in	in
prava	prava
podóba	podoba
revſhine	revščine
le	le
bila	bila
.	.
ne	ne
delajo	delajo
in	in
ne	ne
predejo	predejo
,	,
pa	pa
vunder	vendar
vam	vam
rèzhem	rečem
:	:
tudi	tudi
salomon	salomon
v	v
vſim	vsem
ſvôjim	svojem
velizhaſlvu	veličanstvu
ni	ni
bil	bil
tako	tako
lépo	lepo
oblézhen	oblečen
,	,
kakor	kakor
êna	ena
ismed	izmed
njih	njih
.	.
koku	kako
ſe	se
ena	ena
od	od
detele	detelje
,	,
al	ali
druge	druge
friſhne	frišne
kęrme	krme
napihnena	napihnjena
govędina	govedina
vęnta	fenta
?	?
gré	gre
tedaj	tedaj
v'	v
jerusalem	jeruzalem
.	.
pa	pa
jona	jona
ſe	se
bojí	boji
tje	tja
iti	iti
,	,
ker	ker
ſo	so
bili	bili
ninivljani	ninivljani
neisrezheno	neizrečeno
hudobni	hudobni
.	.
“	“
jesuſ	jezus
mu	mu
je	je
rekel	rekel
:	:
„	„
vſtani	vstani
,	,
vsemi	vzemi
póſteljo	posteljo
,	,
ino	in
idi	pojdi
!	!
ti	ti
navęsh	ne_veš
,	,
zhe	če
bosh	boš
mogl	mogel
tu	to
,	,
al	ali
unu	ono
dakonzhati	dokončati
,	,
tu	to
pak	pa
je	je
bres	brez
uſſega	vsega
dimuvanja	dimovanja
resnizhnu	resnično
,	,
de	da
bosh	boš
mogl	moral
umreti	umreti
,	,
inu	in
s'	s
tega	tega
svejta	sveta
pojdti	iti
.	.
sdravnik	zdravnik
sa	za
shivino	živino
,	,
z.	c.
k.	k.
uzhenik	učenik
sdravilſtva	zdravilstva
sa	za
shivino	živino
in	in
tajnik	tajnik
z.	c.
k.	k.
kmetijſke	kmetijske
drushbe	družbe
v	v
ljubljani	ljubljani
.	.
smrękarza	smrekarica
.	.
odtod	odtod
sem	sem
se	si
jeſt	jaz
ſasluſhila	zaslužila
mate	mati
te	te
vire	vere
imęnuvana	imenovana
biti	biti
,	,
dokler	dokler
jeſt	jaz
sem	sem
ſazhetneka	začetnika
,	,
inu	in
dakonzhuvavza	dokončevalca
te	te
vire	vere
rodilla	rodila
.	.
v	v
ſrédo	sredo
16.	16.
vélikiga	velikega
ſerpana	srpana
.	.
rèſnizhnu	resnično
vam	vam
povęm	povem
,	,
vy	vi
ne	ne
bóte	boste
obhodili	obhodili
tę	ta
męſta	mesta
israel	izraela
,	,
dokler	dokler
pride	pride
şyn	sin
tiga	tega
zhlovęka	človeka
.	.
tedaj	tedaj
rekó	rečejo
trapaſte	trapaste
pametnim	pametnim
:	:
„	„
dajte	dajte
nam	nam
ſvojiga	svojega
olja	olja
,	,
naſhe	naša
ſvetila	svetila
ugaſujejo	ugasujejo
.	.
1843.	1843.
s'	z
délam	delom
ſta	sta
ſi	si
mogla	morala
kruha	kruha
ſlushiti	služiti
.	.
kosaperska	kozoprska
opravila	opravila
.	.
kuharza	kuharica
ivana	ivana
v'	v
