AN	An

aber	aber
beyde	beide
zwar	zwar
einer	einer
kraͤffte	Kräfte
/	/
vñ	und
vaſt	fast
eins	eines
lyeblichen	lieblichen
geruchs	Geruchs
.	.

An	an
den	den
feüchten	feuchten
ſchattechten	schattigen
orten	Orten
/	/
würt	wird
ſye	sie
groſſz	groß
vnd	und
feyſzt	feist
/	/
an	an
der	der
ſonnen	Sonne
/	/
klein	klein
vnd	und
krauſz	kraus
.	.

Sein	sein
Complexion	Complexion
/	/
vnd	und
Temperament	Temperament
.	.

Galenus	Galenus
ſpricht	spricht
/	/
das	dass
Maioron	Majoran
wermet	wärmt
in	in
dem	dem
drittẽ	dritten
grade	Grade
/	/
vnd	und
trucknet	trocknet
in	in
dem	dem
zweyten	zweiten
.	.

¶	¶
Was	was
Maioron	Majoran
für	für
kraͤfft	Kräfte
hat	hat
.	.

Die	die
bletter	Blätter
in	in
honig	Honig
geſtoſſen	gestoßen
/	/
vnd	und
übergelegt	übergelegt
/	/
benemmen	benehmen
die	die
blawen	blauen
maͤler	Mäler
/	/
von	von
ſchlagen	Schlagen
/	/
oder	oder
ſtoſſen	Stoßen
.	.

Ein	ein
zapffen	Zapfen
darauſz	daraus
gemacht	gemacht
/	/
bringet	bringt
den	den
frawen	Frauen
ire	ihre
zeit	Zeit
.	.

Mit	mit
eſſig	Essig
vnd	und
ſaltz	Salz
geſtoſſen	gestoßen
/	/
gelegt	gelegt
über	über
ein	einen
ſcorpion biſſz	Skorpionbiss
/	/
heylet	heilt
jn	ihn
.	.

Ein	ein
pflaſter	Pflaster
darauſz	daraus
gemacht	gemacht
/	/
vnd	und
gelegt	gelegt
über	über
die	die
verrengkte	verrenkten
glyder	Glieder
/	/
rychtet	richtet
ſye	sie
/	/
vnd	und
leget	legt
das	das
wee	Weh
.	.

Das	das
puluer	Pulver
daruon	davon
in	in
die	die
naſzloͤcher	Nasenlöcher
geſtoſſen	gestoßen
macht	macht
nyeſzen	niesen
/	/
reyniget	reinigt
vnnd	und
ſtercket	stärkt
das	das
haubt	Haupt
.	.

Maioron	Majoran
geſotten	gesotten
/	/
oder	oder
das	das
ſafft	Saft
daruon	davon
in	in
die	die
naſz	Nase
geſupffet	geschnupft
/	/
ſtercket	stärkt
auch	auch
dz	das
hyrn	Hirn
/	/
vnd	und
iſt	ist
gůt	gut
denen	denen
ſo	so
den	die
fallenden	fallende
ſyechtagen	Krankheit
haben	haben
.	.

Reyniget	reinigt
vnd	und
daͤwet	taugt
wol	wohl
den	den
naſzpfnüſzel	Nasenpfnüssel
/	/
oder	oder
ſchnupffen	Schnupfen
.	.

Wen	wen
das	das
paralyſis	Paralysis
getroffen	getroffen
/	/
vñ	und
jm	ihm
die	die
ſprach	Sprache
gelaͤgen	gelegen
/	/
ſoll	soll
man	man
das	das
waſſer	Wasser
in	in
den	den
mund	Mund
geben	geben
/	/

bringet	bringt
jm	ihm
die	die
rede	Rede
wider	wieder
.	.

Stercket	stärkt
die	die
memory	Memorie
/	/
oder	oder
gedaͤchtnuſz	Gedächtnis
/	/
das	das
hyndertheyl	Hinterteil
des	des
haubts	Haupts
damit	damit
überſtrichen	überstrichen
/	/
oder	oder
ein	eine
laugen	Lauge
darauſz	daraus
gemacht	gemacht
/	/
vnd	und
mit	mit
gezwagen	gezwagen
.	.

Welche	welche
frawen	Frauen
auch	auch
das	das
Weiſſz	Weiß
zů	zu
vil	viel
haben	haben
/	/
ſollen	sollen
diſzes	dieses
waſſers	Wassers
brauchen	brauchen
bey	bei
zeiten	Zeiten
.	.

Leget	legt
das	das
haubtwee	Hauptweh
von	von
kalten	kalten
flüſſen	Flüssen
vnd	und
vrſzachen	Ursachen
.	.

Macht	macht
weit	weit
vmb	um
die	die
bruſt	Brust
/	/
vnd	und
zerſchneidet	zerschneidet
den	den
koder	Koder
.	.

Die	die
ſchrepffhoͤrnlin	Schröpfhörnlein
in	in
diſzem	diesem
waſſer	Wasser
genetzt	benetzt
/	/
behuͤtet	behütet
den	den
menſchẽ	Menschen
das	dass
nichts	nichts
boͤſz	Böses
darzů ſchlecht	zuschlägt
.	.

Das	das
ſafft	Saft
geſtrichen	gestrichen
über	über
das	das
gelüffert	gelüfferte
blůt	Blut
/	/
zerlaſſet	zerlässt
es	es
.	.

Ein	ein
foment	Foment
dauon	davon
/	/
reyniget	reinigt
die	die
můter	Gebärmutter
.	.

Das	das
kraut	Kraut
über	über
den	den
magen	Magen
gelegt	gelegt
in	in
ein	ein
ſaͤcklin	Säcklein
/	/
leget	legt
das	das
magenwee	Magenweh
.	.

In	in
die	die
ſpeiſze	Speise
gethan	getan
/	/
machet	macht
ſye	sie
wolſchmacken	wohlschmeckend
/	/
vnd	und
iſt	ist
geſund	gesund
.	.

Leget	legt
auch	auch
das	das
geſchwollen	geschwollene
miltz	Milz
.	.

Meüſzoͤrlin	Mausöhrlein
.	.

¶	¶
Von	von
dem	dem
Nammen	Namen
.	.

Von	von
diſzem	diesem
yrrthumb	Irrtum
diſputiert	disputiert
weitlaͤuffig	weitläufig
der	der
hochgeleert	hochgelehrte
D.	D.
Leonhart	Leonhart
fuchs	Fuchs
/	/
in	in
ſeinem	seinem
buͤchlin	Büchlein
/	/
das	das
er	er
geſchriben	geschrieben
von	von
den	den
yrrthumben	Irrtümern
der	der
àrtzet	Ärzte
/	/

gehoͤrt	gehört
für	für
die	die
gelerten	Gelehrten
/	/
das	dass
ſye	sie
dem ſelbigen	demselbigen
/	/
vnnd	und
deren	deren
gleichen	gleichen
fleiſſiger	fleißiger
nach ſynnent	nachsinnen
/	/
damit	damit
ſye	sie
nit	nicht
für	für
vnnd	und
für	für
alſo	also
machen	machen
/	/

quid	quid
pro	pro
quo	quo
/	/

meüſzdreck	Mäusedreck
für	für
pfeffer	Pfeffer
.	.

Das	das
kraut	Kraut
Meüſzoͤrlin	Mausöhrlein
würt	wird
alſo	also
geneñt	genannt
/	/
ſpricht	spricht
Dioſcorides	Dioscorides
/	/
darumb	darum
/	/
das	dass
ſeine	seine
blaͤttlin	Blättlein
den	den
Meüſzoͤrlin	Mausöhrlein
gleich	gleich
ſeind	sind
/	/

Anricula	Auricula
muris	muris
genannt	genannt
zů	zu
latin	Latein
.	.

Geſchlecht	Geschlecht
vnd	und
Geſtalt	Gestalt
.	.

Dioſcorides	Dioscorides
ſpricht	spricht
/	/
das	dass
diſzes	dieses
kraut	Kraut
zweyerley	zweierlei
ſey	sei
.	.

Das	das
erſt	erste
/	/
wechſzt	wächst
in	in
den	den
waͤlden	Wäldern
/	/
vnnd	und
ſandechten	sandigen
orten	Orten
/	/
Alſine	Alsine
genannt	genannt
/	/
iſt	ist
aber	aber
heüt	heute
nicht	nicht
bekannt	bekannt
/	/
als	als
Marcellus	Marcellus
Vergilius	Vergilius
/	/
vnd	und
die	die
auſzleger	Ausleger
Dioſcoride	Dioscorides
meynen	meinen
.	.

Die	die
wurtzel	Wurzel
iſt	ist
eins	eines
fingers	Fingers
dick	dick
.	.

vnd	und
alſo	also
beſchreibet	beschreibt
ſye	sie
Dioſcorides	Dioscorides
.	.

Das	das
aber	aber
wir	wir
Meuſzoͤrlin	Mausöhrlein
nennen	nennen
/	/
iſt	ist
ein	ein
kleins	kleines
kreütlin	Kräutlein
/	/
mit	mit
horechten	haarigen
bletteren	Blättern
/	/
flechtet	flechtet
ſich	sich
vff	auf
der	der
erden	Erde
/	/
auch	auch
mit	mit
einem	einem
kleinen	kleinen
horechtigen	haarigen
ſtengelin	Stängelein
/	/
vñ	und
ſeine	seine
bluͤmlin	Blümlein
gelb	gelb
/	/
wolryechend	wohlriechend
.	.

Auch	auch
zweyerley	zweierlei
/	/
eins	eins
mit	mit
groſſen	großen
bletteren	Blättern
/	/
das	das
ander	andere
mit	mit
kleinen	kleinen
/	/
haben	haben
aber	aber
beyde	beide
ein	ein
bluͤmlin	Blümlein
gelb	gelb
.	.

Es	es
ſeind	sind
auch	auch
etliche	etliche
/	/
ſpricht	spricht
Dioſcorides	Dioscorides
/	/
die	die
diſz	dieses
kraut	Kraut
Helxinem	Helxinem
nennen	nennen
/	/
von	von
welchem	welchem
wir	wir
geſchriben	geschrieben
in	in
dem	dem
kraut	Kraut
Parietaria	Parietaria
/	/
S. peterskraut	Sankt-Peterskraut
genennt	genannt
.	.

Complexion	Complexion
der	der
kleinen	kleinen
Meüſzoͤrlin	Mausöhrlein
.	.

¶	¶
Seine	seine
kraͤfft	Kräfte
vnd	und
artzeneyen	Arzneien
.	.

Ein	ein
gewiſſz	gewisses
Experiment	Experiment
wider	wider
den	den
Bruch	Bruch
.	.

diſzes	dieses
puluer	Pulver
gib	gib
den	den
kinden	Kindern
ſo	so
gebrochen	gebrochen
in	in
der	der
bapp	Bappe
/	/
den	den
alten	alten
in	in
der	der
ſpeiſz	Speise
.	.

Item	Item
für	für
die	die
Geelſůcht	Gelbsucht
/	/
ſeüd	siede
Meüſzoͤrlin	Mausöhrlein
mit	mit
Erdtboͤrkraut	Erdbeerkraut
in	in
wein	Wein
/	/

vnnd	und
drinck	trink
ſolichen	solchen
tranck	Trank
.	.

Soll	soll
auch	auch
das	das
kraut	Kraut
ein_	einem
vernageltẽ	vernagelten
gaul	Gaul
ſeer	sehr
dyenſtlich	dienstlich
ſein	sein
/	/
vnder	unter
das	das
hůffeiſen	Hufeisen
gelegt	gelegt
.	.

¶	¶
Von	von
dem	dem
Nammen	Namen
.	.
BIngelkraut	Bingelkraut
würt	wird
vff	auf
Kryechiſch	Griechisch
Parthenion	Parthenion
genennt	genannt
/	/
gleich	gleich
wie	wie
etliche	etliche
obgenannte	oben genannte
kreüter	Kräuter
/	/
bey	bei
den	den
latiñiſchen	lateinischen
Mercurialis	Mercurialis
/	/
Mercuriuskraut	Mercuriuskraut
.	.
darumb	darum
/	/
das	dass
der	der
abgott	Abgott
Mercurius	Merkur
ſoll	soll
das	das
erſtlich	erstlich
erfunden	erfunden
/	/
vñ	und
den	den
menſche	Menschen
ſein	sein
nutzbarkeit	Nutzbarkeit
anzeyget	angezeigt
/	/

vff	auf
Teütſch	Deutsch
/	/
Bingelkraut	Bingelkraut
/	/
Scheiſſzkraut	Scheißkraut
/	/
Miſtmylt	Mistmilt
/	/
Hundsmilt	Hundsmilt
/	/
Mylt	Milt
/	/
Scheiſſmylt	Scheißmilt
/	/
Speckmalten	Speckmalten
/	/
Schoſzmelden	Schoßmelden
/	/
Kuͤwurtz	Küwurz
/	/

derẽ	deren
ſo	so
deren	deren
nammẽ	Namen
iſt	ist
kein	kein
ende	Ende
/	/
villeicht	vielleicht
das	dass
es	es
ein	ein
geſchlecht	Geschlecht
iſt	ist
des	des
Mylts	Milts
/	/
vnnd	und
den	den
ſtůlgang	Stuhlgang
reytzet	reizt
.	.

Von	von
ſeiner	seiner
ſtatt	Statt
.	.

Geſchlecht	Geschlecht
und	und
Geſtalt	Gestalt
.	.

Dioſcor.	Dioscorides
ſpricht	spricht
/	/
das	dass
diſzes	dieses
kraut	Kraut
zweyerley	zweierlei
geſchlecht	Geschlecht
ſey	sei
/	/
maͤñlich	männlich
/	/
vnd	und
weiblich	weiblich
/	/
wachſzent	wachsend
beyde	beide
eines	eines
ellenbogẽs	Ellenbogens
hoch	hoch
/	/
vñ	und
zweigent	zweigen
ſich	sich
.	.

Das	das
weiblin	Weiblein
dauon	davon
beſomet	besamt
ſich	sich
wie	wie
der	der
Mylte	Milt
/	/
vnd	und
Gůtheinrich	Guter Heinrich
.	.

Das	das
maͤnnlin	Männlein
hat	hat
ſeinen	seinen
ſomen	Samen
an	an
den	den
bletteren	Blättern
/	/
klein	klein
/	/
rond	rund
/	/
geparet	gepaart
/	/
vnd	und
wie	wie
zwey	zwei
hoͤdlin	Hödlein
henckend	hängend
.	.

Hieronymus	Hieronymus
ſpricht	spricht
/	/
das	dass
noch	noch
auch	auch
ein	ein
kraut	Kraut
ſey	sei
/	/
Gůtheynrich	Guter Heinrich
genañt	genannt
/	/
oder	oder
Schmerbel	Schmerbel
/	/
ſey	sei
auch	auch
ein	ein
Mercurialis	Mercurialis
.	.

Die	die
anderen	anderen
aber	aber
machen	machen
darauſz	daraus
ein	ein
Naterwurtz	Natterwurz
/	/
wie	wie
obgeſagt	oben gesagt
.	.

Complexion	Complexion
.	.

Vnd	und
wañ	wenn
ſoliche	solche
friſch	frisch
iſt	ist
/	/
ſo	so
laxiert	laxiert
ſye	sie
ſenfft	sanft
/	/
als	als
vil	viel
als	als
in	in
dem	dem
erſten	ersten
grade	Grade
.	.
Mag	mag
gereychet	gereicht
vñ	und
geben	gegeben
werden	werden
im	im
anfang	Anfang
der	der
feberen	Fieber
on	an
alle	alle
dewung	Dauung
/	/
gleich	gleich
der	der
Caſſia	Cassia
fiſtula	fistula
/	/
vnd	und
Tamarinden	Tamarinde
.	.

Vnd	und
wann	wenn
man	man
ein	ein
pflaſter	Pflaster
darauſz	daraus
machet	macht
/	/
ſo	so
reſoluieret	resolviert
ſye	sie
.	.

¶	¶
Seine	seine
kraͤfft	Kraft
vnd	und
Artzeneyen	Arzneien
.	.

Man	man
findet	findet
/	/
das	dass
er	er
ſolichs	solches
vermiſcht	vermischt
mit	mit
roſzenoͤle	Rosenöl
/	/
oder	oder
gilgenoͤle	Gilgenöl
/	/
gebraucht	gebraucht
hat	hat
zů	zu
der	der
můter	Gebärmutter
/	/
den	den
frawen	Frauen
ire	ihre
zeit	Zeit
/	/
vnnd	und
die	die
geburt	Geburt
damit	damit
zůtreiben	zu treiben
/	/
für	vor
die	die
ſcham̃	Scham
gelegt	gelegt
.	.

Er	er
hat	hat
auch	auch
ſolich	solches
kraut	Kraut
zůtrincken	zu trinken
geben	gegeben
/	/
vnnd	und
fomenta	Fomenta
darauſz	daraus
gemacht	gemacht
/	/
zů	zu
den	den
genannten	genannten
breſten	Bresten
.	.

Seine	seine
bletter	Blätter
leget	legt
er	er
vff	auf
den	den
bauch	Bauch
/	/
vnd	und
über	über
die	die
tryeffende	triefenden
augẽ	Augen
/	/
für	für
die	die
harnwynde	Harnwinde
vnd	und
zů	zu
dem	dem
breſten	Bresten
der	der
bloſzen	Blase
.	.

Wiltu	willst du
ein	eine
gůt	gute
ſolutiua	Solutiva
machen	machen
/	/
ſo	so
nim	nimm
Bingelkraut	Bingelkraut
ein	eine
handtuoll	Hand voll
/	/

drinck	trink
die ſelbig	dieselbige
.	.

Etliche	etliche
thůn	tun
bappelen	Pappeln
darzů	dazu
/	/
vnd	und
zucker	Zucker
.	.

Die	die
anderen	anderen
ſyeden	sieden
ſolich	solches
kraut	Kraut
in	in
kappunẽ	Kapaun
/	/
oder	oder
eines	eines
alten	alten
hanen	Hahnes
bruͤe	Brühe
/	/

Hieronymus	Hieronymus
ſpricht	spricht
/	/
das	dass
Bingelkraut waſſer	Bingelkrautwasser
in	in
die	die
naſzẽ	Nasen
gezoge	gezogen
etwan	etwa
offt	oft
/	/
iſt	ist
gůt	gut
dan	dann
haubt	Haupt
damit	damit
zůpurgierẽ	zu purgieren
/	/
vnd	und
hinderſchlecht	hinterschlägt
die	die
abſteigende	absteigende
flüſſz	Flüsse
/	/
die	die
da	da
fallen	fallen
in	in
die	die
augen	Augen
/	/
naſz	Nase
/	/
vnd	und
oren	Ohren
.	.

Vber	über
den	den
brandt	Brand
geſchlagen	geschlagen
mit	mit
einem	einem
duͤchlin	Tüchlein
/	/
heylet	heilt
vnd	und
leſchet	löscht
.	.

Mit	mit
wein	Wein
vermiſcht	vermischt
/	/
heylet	heilt
offene	offene
ſchaͤden	Schäden
.	.

S. Iacobs blům	Sankt-Jakobsblume
.	.

Iſt	ichst
zů	zum
vffenthalt	offenhalten
der	der
Fiſtelen	Fisteln
/	/
das	dass
ſye	sie
nit	nicht
weiter	weiter
vmb	um
ſich	sich
eſſe	esse
/	/
ein	ein
bewaͤrt	bewährtes
ſtuck	Stück
/	/
die	die
bletter	Blätter
dürr	dürr
gepuluert	gepulvert
/	/
vnd	und
daryn	darin
geſprengt	gesprengt
.	.

Ein	ein
ſonderlich	sonderliches
Wundtkraut	Wundkraut
/	/
auch	auch
yñerlich	innerlich
zůbrauchẽ	zu brauchen
¶	¶

Von	von
der	der
Meyſterwurtz	Meisterwurz
/	/
Angelica	Angelica
/	/
vnd	und
der	der
Heyligengeyftwurtz	Heiligengeistwurz
/	/
oder	oder
Bruſtwurtz	Brustwurz
genannt	genannt
.	.

¶	¶
Von	von
dem	dem
Nammen	Namen
.	.

MIt	mit
diſzen	diesen
zweyen	zweien
wurtzelen	Wurzeln
binn	bin
ich	ich
wol	wohl
drey	drei
oder	oder
fyer	vier
jar	Jahr
vmbgangen	umgangen
/	/
mich	mich
hefftig	heftig
beworben	beworben
/	/
vnd	und
erfraget	erfragt
/	/
vff	auf
welches	welches
capitel	Kapitel
Dioſcoride	Dioscorides
ſoliche	solche
doch	doch
moͤchten	möchten
gedeütet	gedeutet
worden	worden
/	/

ſeind	sind
aber	aber
gar	gar
vnbekañt	unbekannt
bey	bei
den	den
hochgelerten	Hochgelehrten
/	/
bitz	bis
zů letſt	zuletzt
mir	mir
ein	eine
meynung	Meinung
fürgeſchlagen	vorgeschlagen
der	der
wolgelert	wohlgelehrte
D.	D.
Hieronymus	Hieronymus
Bock	Bock
/	/
ein	ein
ſonderlicher	sonderlicher
erfarener	Erfahrener
der	der
kreüter	Kräuter
krafft	Kraft
/	/
vnd	und
artzet	Arzt
meins	meines
gnedigſtẽ	gnädigsten
herren	Herren
zů	zu
Zweinbrücken	Zweinbrücken
/	/

Das	das
ich	ich
mir	mir
laſſz	lasse
dermaſſzẽ	dermaßen
wolgefallẽ	wohl gefallen
/	/
vnd	und
achte	achte
/	/
es	es
werd	werde
ſye	sie
keiner	keiner
bald	bald
beſſer	besser
deüten	deuten
.	.

Doch	doch
woͤllẽ	wollen
wir	wir
hyeriñ	hierin
auch	auch
nicht	nicht
ſtreittig	streitig
ſein	sein
/	/
ſonð	sondern
habẽ	haben
vnſzer	unser
gůtbedunckẽ	Gutdünken
anzeygt	angezeigt
.	.
damit	damit
die	die
gelerten	Gelehrten
dem ſelbigen	demselbigen
weiter	weiter
nach ſynnen	nachsinnen
moͤchten	möchten
.	.

Etlich	etliche
andere	andere
die	die
ſagen	sagen
/	/
das	dass
weder	weder
Dioſcorides	Dioscorides
/	/
noch	noch
Plinius	Plinius
haben	haben
etwas	etwas
von	von
diſzen	diesen
wurtzelen	Wurzeln
gewiſſzt	gewusst
/	/
gleich	gleich
wie	wie
von	von
der	der
Graſſzblůmen	Grasblume
/	/
vnnd	und
etlichen	etlichen
anderem	anderem
ſimplicibus	Simplicibus
/	/
die	die
erſt	erst
zů	zu
den	den
letſten	letzten
zeiten	Zeiten
ſeind	sind
auſzfindig	ausfindig
worden	geworden
/	/
vñ	und
teüffen	taufen
ſoliche	solche
wurtzelẽ	Wurzeln
/	/
die	die
ein	eine
Meyſterwurtz	Meisterwurz
Aſtranciam	Astrantia
/	/
oder	oder
Iſtericium	Istericium
/	/
die	die
ander	andere
Angelicam	Angelica
/	/
oder	oder
Radicem	Radicem
ſpirituſſancti	spiritus sancti
/	/
beyde	beide
eins	eines
weſzens	Wesens
vñ	und
krafft	Kraft
/	/
doch	doch
das	das
Angelica	Angelica
ſey	sei
das	das
weiblin	Weiblein
/	/
vnd	und
Meyſterwurtz	Meisterwurz
das	das
maͤñlein	Männlein
.	.

Diſze	diese
nammen	Namen
habẽ	haben
alſo	also
überhandt	überhand
genommen	genommen
/	/
vnd	und
in	in
einen	einen
brauch	Brauch
kommẽ	kommen
/	/
das	das
ſye	sie
auch	auch
kein	kein
alt	altes
ſynonymum	Synonym
/	/
oder	oder
beynammen	Beinamen
haben	haben
/	/
darauſz	daraus
man	man
ynen	ihnen
weiter	weiter
moͤcht	möchte
nachſtapffen	nachstapfen
.	.

reimet	reimt
ſich	sich
aber	aber
ebẽ	eben
daruff	darauf
/	/
wie	wie
ein	ein
fauſt	Faust
vff	auf
ein	ein
aug	Auge
.	.

Aber	aber
Angelica	Angelica
geſchlecht	Geschlecht
iſt	ist
zweyerley	zweierlei
/	/
wylde	wilde
/	/
vnd	und
zamme	zahme
.	.

Kraut	Kraut
vnd	und
ſtengel	Stängel
in	in
der	der
lenge	Länge
zweier	zweier
ellenbogen	Ellenbogen
.	.

das	das
vil	viele
von	von
den	den
Teütſchen	Deutschen
Bůchhalter	Buchhalter
nennen	nennen
.	.

des	des
werden	werden
dann	dann
die	die
leüt	Leute
betrogen	betrogen
/	/
das	dass
jnen	ihnen
etliche	etliche
falſche	falsche
wurtzeler	Wurzeln
/	/
der	der
wyldẽ	wilden
Angelica	Angelica
für	für
die	die
recht	rechte
Angelica	Angelica
verkauffen	verkaufen
.	.

Bittz	bis
hichaͤr	hierher
Hieronymus	Hieronymus
.	.

Aber	aber
die	die
Meyſterwurtz	Meisterwurz
gleichet	gleicht
ſich	sich
der	der
Angelica	Angelica
kraut	Kraut
.	.

Syheſtu	siehst du
hye	hier
lieber	lieber
Leſzer	Leser
/	/

¶	¶
Kraͤfft	Kräfte
der	der
Angelica	Angelica
.	.

Dieweil	dieweil
wir	wir
aber	aber
nun	nun
nichts	nichts
gewiſſes	Gewisses
haben	haben
võ	von
den	den
rechten	rechten
natürlichẽ	natürlichen
nam̃en	Namen
/	/
vnnd	und
ſubſtantz	Substanz
diſzer	dieser
beyder	beider
wurtzelen	Wurzeln
/	/
ſonder	sondern
ſeind	sind
allein	allein
meynungen	Meinungen
vnnd	und
gůtbeduncken	Gutdünken
/	/
ſo	so
woͤllen	wollen
wir	wir
dannocht	dennoch
die	die
gemeynen	gemeinen
erfarnuſſzen	Erfahrungen
/	/
ſo	so
bitz	bis
haͤr	hier
võ	von
etlichen	etlichen
Empericis	Empiricis
wargenommen	wahrgenommen
/	/
nit	nicht
vnderlaſſen	unterlassen
/	/
bitz	bis
das	das
wir	wir
der	der
tag	Tag
eineſt	einst
gar	gar
vff	auf
den	den
grundt	Grund
kommen	kommen
.	.

So	so
einẽ	einen
die	die
peſtilentz	Pestilenz
/	/
oder	oder
peſtilentziſche	pestilenzische
feber	Fieber
anſtoſſet	anstösst
/	/
der	der
nem	nehme
des	des
waſſers	Wassers
zwey	zwei
lot	Lot
/	/
theriack	Theriack
ein	ein
quintlin	Quentlein
/	/
eſſig	Essig
ein	ein
halb	halbes
lot	Lot
/	/

vnnd	und
meng	meng
das	das
vndereinanð	untereinander
/	/

drincks	trink es
ee	ehe
dañ	dann
er	er
anfahe	anfange
ſchlaffen	schlafen
.	.

laſſz	lass
ym	ihm
auch	auch
ein	ein
ader	Ader
ſprengen	sprengen
/	/

Alles	alles
was	was
an	an
diſzer	dieser
wurtzelẽ	Wurzel
iſt	ist
/	/
waſſer	Wasser
/	/
ſafft	Saft
/	/
oder	oder
puluer	Pulver
/	/
iſt	ist
alles	alles
gůt	gut
für	für
vergyfft	Vergiftung
/	/
raumet	räumt
vnnd	und
macht	macht
weyt	weit
vmb	um
die	die
bruſt	Brust
/	/
dewet	daut
wol	wohl
abe	ab
/	/
ſtercket	stärkt
das	das
hertz	Herz
/	/
vnd	und
den	den
gantzen	ganzen
leib	Leib
.	.

Ich	ich
glaub	glaube
auch	auch
/	/
das	dass
diſze	diese
wurtzel	Wurzel
alle	alle
ding	Dinge
vermoͤge	vermöge
ſo	so
Dioſcorides	Dioscorides
vnnd	und
Plinius	Plinius
zůgeben	zugegeben
der	der
Panace	Panaces
.	.

Meyſterwurtz	Meisterwurz
geſotten	gesotten
in	in
waſſer	Wasser
/	/
vnd	und
gedruncken	getrunken
/	/
dewet	daut
gleich	gleich
wol	wohl
ab	ab
/	/
vnd	und
treibet	treibt
auſz	aus
alle	alle
flegmatiſche	phlegmatischen
feüchtigkeiten	Feuchtigkeiten
.	.

Mit	mit
tauſent guldenkraut	Tausendgüldenkraut
gedruncken	getrunken
/	/
vertreibet	vertreibt
die	die
miſſzfarb	Missfarbe
.	.

Mit	mit
gerſten meel	Gerstenmehl
geſotten	gesotten
/	/
geſtoſſen	gestoßen
/	/
vnnd	und
über	über
die	die
ſchwartzen	schwarzen
blateren	Blattern
gelegt	gelegt
/	/
weychet	weicht
vnd	und
heylet	heilt
ſye	sie
.	.

In	in
den	den
mundt	Mund
gehebt	gehebt
/	/
vnd	und
gekewet	gekaut
zeücht	zieht
feüchtigkeit	Feuchtigkeit
von	von
dem	dem
kopff	Kopf
/	/
vnd	und
reyniget	reinigt
das	das
hyrn	Hirn
.	.

Macht	macht
weyt	weit
vmb	um
die	die
bruſt	Brust
.	.

Vnd	und
in	in
ſonderheit	Sonderheit
/	/
gekewt	gekaut
/	/
vnnd	und
die	die
wurtzel	Wurzel
geſſen	gegessen
/	/
dawet	daut
überauſz	überaus
/	/
was	was
der	der
mag	Magen
vndawlichs	Undauliches
entpfangen	empfangen
.	.

¶	¶
Von	von
dem	dem
Nammen	Namen
.	.

PLinius	Plinius
ſchreibt	schreibt
/	/
das	dass
es	es
noch	noch
war	wahr
iſt	ist
/	/
dz	dass
wir	wir
die	die
aller beſten	allerbesten
kreüter	Kräuter
mit	mit
fuͤſſen	Füßen
dretten	treten
/	/
welcher	welcher
kraͤfft	Kräfte
wo	wo
wir	wir
wüſten	wüssten
/	/
wurden	würden
wir	wir
ſye	sie
in	in
den	den
hym̃el	Himmel
heben	heben
.	.

Lauffen	laufen
in	in
Arabien	Arabien
vnd	und
Indiam	Indien
artzeneyen	Arzneien
zů	zu
ſůchen	suchen
/	/
vnnd	und
habens	haben es
vor	vor
der	der
thuͤr	Tür
/	/
das	das
wir	wir
bedoͤrffen	bedürfen
.	.

Was	was
iſt	ist
verachtlichers	verächtlicheres
weder	weder
das	das
Weggraſz	Weggras
:	:

Dieweil	dieweil
es	es
nit	nicht
gepflantzet	gepflanzt
würt	wird
/	/
oder	oder
nit	nicht
frembd	fremd
haͤrgefuͤrt	hergeführt
/	/
ſo	so
achtet	achtet
menigklich	maniglich
ſein	sein
nit	nicht
.	.

Weggraſz	Weggras
iſt	ist
das	das
recht	rechte
Graſz	Gras
/	/
vnd	und
würt	wird
zů	zu
Latin	Latein
genennet	genannt
Centumnodia	Centumnodia
/	/
oder	oder
Proſerpinatia	Proserpinatia
bey	bei
dem	dem
Dioſcoride	Dioscorides
/	/
vff	auf
Kryechiſch	Griechisch
Polygonion	Polygonion
/	/
vnd	und
Gramen	Gramen
.	.

ſaͤhet	sät
ſich	sich
ſelb	selbst
.	.

Geſchlecht	Geschlecht
vnd	und
geſtalt	Gestalt
.	.

Das	das
maͤñlin	Männlein
(	(
ſpricht	spricht
er	er
)	)
hat	hat
vil	viele
aͤſtlin	Ästlein
/	/
zart	zart
/	/
vnd	und
mit	mit
knoͤpfflin	Knöpflein
vnderſcheydẽ	unterschieden 
/	/
kreüchet	kriecht
vff	auf
der	der
erden	Erde
wie	wie
das	das
gemeyn	gemeine
graſz	Gras
.	.

Vnd	und
ſeine	seine
blettlin	Blättlein
ſeind	sind
gleich	gleich
der	der
Rauten	Rauten
blettlin	Blättlein
/	/
doch	doch
lenger	länger
/	/
vnd	und
auch	auch
weycher	weicher
.	.

vnd	und
einem	einem
yeden	jeden
blettlin	Blättlein
hanget	hängt
an	an
ſein	seine
ſoͤmlin	Sämlein
/	/
derenhalbẽ	derenthalben
es	es
das	das
maͤnnlin	Männlein
würt	wird
genañt	genannt
.	.

Seine	seine
bluͤmlin	Blümlein
ſeind	sind
weiſſzlecht	weißlich
/	/
ein	ein
theyl	Teil
braunfaͤrbig	braunfarbig
.	.

Weggraſz	Weggras
das	das
