sobre	Sobre
	,
sino	sino
que	que
vosos	vosotros
seays	seáis
las	las
cartas	cartas

mas	Mas
enbio	envío
a	a
deziros	deciros
que	que
no	no
digays	digáis
a	a
mi	mi
tio	tío
	,
si	si
no	no
lo	lo
abeys	habéis
dicho	dicho
	,
de	de
arte	arte
fue	fue
	,
syno	sino
al	al
modo	modo
de	de
la	la
carta	carta
que	que
enbie	envié
a	a
luzia	Lucía
a	a
dezir	decir

y	Y
pues	pues
mi	mi
deseo	deseo
no	no
es	es
otro	otro
sino	sino
serbir	servir
a	a
V	vuestra
m	merced
	,
no	no
permita	permita
que	que
yo	yo
acabe	acabe
la	la
bida	vida
tan	tan
desesperanda	desesperanda
	,
porq	porque
con	con
ella	ella
podre	podré
serbir	servir
a	a
Vm	VM
y	y
acabandoseme	acabándoseme
no	no
llebare	llevaré
otra	otra
lastima	lástima
sino	sino
morir	morir
en	en
desgraçia	desgracia
de	de
Vm	VM

y	Y
quando	cuando
sera	será
el	el
tyenpo	tiempo
d	de
andarse	andarse
le	le
mostrare	mostraré
como	como
no	no
perdio	perdió
nyngun	ningún
tienpo	tiempo
	,
antes	antes
q	que
gano	ganó
mas	más
q	que
se	si
sirviyer	sirviera
a	a
nyngun	ningún
sor	señor
de	de
portugal	Portugal
veynte	veinte
años	años

supco	Suplico
a	a
Vm	VM
me	me
Responda	responda
mañana	mañana
a	a
esto	esto
y	y
no	no
sea	sea
como	como
oy	hoy
	,
q	que
no	no
a	ha
querido	querido
dejarse	dejarse
ber	ver

y	Y
aora	ahora
	,
señores	señores
	,
le	le
dad	dad
essa	esa
carta	carta

y	Y
enbie	envié
a	a
dezir	decir
a	a
mi	mi
ermano	hermano
qu	que
escriviese	escribiese
	,
por	por
verme	verme
como	como
me	me
via	veía

por	Por
aca	acá
andamos	andamos
siempre	siempre
con	con
anbre	hambre
de	de
pan	pan
	,
como	como
lo	lo
sabeys	sabéis
	;
y	y
oy	hoy
dia	día
mas	más
	,
que	que
artos	hartos
años	años
ay	hay
todo	todo
se	se
ba	va
tras	tras
el	él
quanto	cuanto
tenemos	tenemos

quedaron	Quedaron
sus	sus
hijas	hijas
qual	cual
pundonable	pundonable
con	con
su	su
dolor	dolor
	,
pobres	pobres
	,
y	y
muchas	muchas
estanse	estanse
juntas	juntas
con	con
sus	sus
hos	hermanos

nro	Nuestro
sr	Señor
lo	lo
remedie	remedie
como	como
pueda	pueda
	,
que	que
ay	hay
harta	harta
neçesidad	necesidad

si	Si
no	no
me	me
cree	cree
va	vuestra
carta	carta
	,
le	le
avisares	avisares
tanbien	también
y	y
lo	lo
que	que
os	os
pareziere	pareciere
d	de
ella	ella
voRaldo	borradlo
primero	primero
que	que
se	se
la	la
mostreys	mostréis
	;
y	y
d	de
esta	ésta
lo	lo
mesmo	mismo

Sor	Señor
	,
mui	muy
vueno	bueno
es	es
que	que
saqueys	saquéis
la	la
sentenzia	sentencia
y	y
la	la
tengays	tengáis
aparejada	aparejada
y	y
digays	digáis
a	a
mi	mi
tio	tío
y	y
a	a
su	su
sobrino	sobrino
que	que
se	se
llame	llame
ana	Ana
de	de
osorio	Osorio
	,
porque	porque
yo	yo
lo	lo
jure	juré
ansi	así
delante	delante
del	del
vicario	vicario
	,
para	para
cando	cuando
vaya	vaya
la	la
zitatoria	citatoria

sus	Sus
virtudes	virtudes
son	son
tantas	tantas
que	que
estos	éstos
las	las
saborearan	saborearan
ante	ante
dios	Dios
y	y
el	el
mundo	mundo

En	En
la	la
dicha	dicha
cargazon	cargazón
van	van
doscientas	doscientas
biblias	biblias
de	de
vatablo	Vatablo
	,
las	las
cinqta	cincuenta
de	de
papel	papel
de	de
marca	marca
mayor	mayor
bastardo	bastardo
	,
que	que
se	se
imprimieron	imprimieron
pocas	pocas
para	para
personas	personas
principales	principales

y	Y
en	en
cõfisiõ	confesión
os	os
descubri	descubrid
d	de
este	este
neguoçio	negocio

por	Por
tanto	tanto
	,
supo	suplico
a	a
vm	VM
me	me
avise	avise
de	de
todo	todo
para	para
ponerlo	ponerlo
por	por
memoria	memoria

	¡
o	Oh
	,
señora	señora
mya	mía
	!
ando	Ando
por	por
hablar	hablar
y	y
no	no
puedo	puedo

y	Y
ansi	ansí
se	se
lo	lo
podeis	podéis
enbiar	enviar
a	a
dezir	decir
a	a
martin	Martín
de	de
alcudia	Alcudia
	,
si	si
teneys	tenéis
nonbre	nombre
de	de
donde	dónde
esta	está

y	Y
vos	vos
	,
señor	señor
	,
veni	venid
luego	luego
	,
porque	porque
soys	sois
muy	muy
mucho	mucho
menester	menester
	,
como	como
os	os
e	he
nbiado	enviado
a	a
dezir	decir
con	con
otras	otras
cartas	cartas
	,
y	y
a	a
mi	mi
tio	tío
	,
que	que
os	os
avian	habían
de	de
dar	dar
a	a
xxiiiio	XXIIIo
d	de
este	este
mes	mes

	¡
o	Oh
	,
vendyto	bendito
tal	tal
amado	amado
	,
tan	tan
manyfiesto	manifiesto
a	a
quye	quien
quyere	quiere
y	y
tan	tan
ascondido	escondido
	!
dale	Dale
myll	mil
abraçados	abrazados
y	y
no	no
le	le
dexes	dejes
syn	sin
q	que
te	te
de	dé
su	su
grand	gran
vendycio	bendición
	,
q	que
ansy	así
lo	lo
ara	hará

entyendame	Entiéndame
sy	si
puede	puede
y	y
plega	plega
al	al
inmeso	inmenso
dyos	Dios
	,
q	que
muy	muy
presto	presto
vamos	vamos
a	a
gozar	gozar
de	de
tanto	tanto
bye	bien
y	y
salgamos	salgamos
d	de
este	este
destiero	destierro
y	y
de	de
tal	tal
tyera	tierra
	,
adonde	adonde
--	--
no	no
ay	hay
syno	sino
con	con
q	que
la	la
anyma	ánima
sea	sea
atormetada	atormentada
por	por
el	el
olbido	olvido
q	que
ay	hay
del	del
q	que
todo	todo
lo	lo
cryo	crió

Si	Si
fuese	fuese
en	en
mano	mano
de	de
los	los
hombres	hombres
qrer	querer
tan	tan
libianamente	livianamente
como	como
Vsmds	VMs
quieren	quieren
	,
podria	podría
Vm	VM
deçir	decir
que	que
lo	lo
que	que
yo	yo
digo	digo
es	es
lisonja	lisonja
	,
pero	pero
hadome	hadome
a	a
mi	mí
la	la
fortuna	fortuna
q	que
quisiese	quisiese
a	a
Vm	VM
de	de
tal	tal
manera	manera
que	que
en	en
berdad	verdad
que	que
ni	ni
como	como
ni	ni
duermo	duermo
pensando	pensando
en	en
Vm	VM

y	Y
otras	otras
q	que
essas	esas
no	no
van	van
ni	ni
an	han
de	de
yr	ir
a	a
essas	esas
partes	partes
	,
porq	porque
es	es
tanto	tanto
el	el
desseo	deseo
q	que
ay	hay
aca	acá
d	de
ellas	ellas
que	que
no	no
avra	habrá
en	en
la	la
impresion	impresión
d	de
ellas	ellas
para	para
la	la
xa	Xa
parte	parte
de	de
los	los
que	que
aca	acá
las	las
quieren	quieren
	,
por	por
ser	ser
libro	libro
tan	tan
bueno	bueno
y	y
necesario	necesario

mui	Muy
mucho	mucho
plazer	placer
Rezevi	recibí
con	con
la	la
carta	carta
de	de
vasmds	VMs
	,
Aunq	aunque
no	no
me	me
escrevieron	escribieron
como	como
yo	yo
queria	quería

Mira	Mira
que	que
por	por
aca	acá
hernã	Hernán
velazquez	Velázquez
a	ha
tomado	tomado
información	información
sobre	sobre
un	un
neguocio	negocio
quando	cuando
unas	unas
carnesToliendas	carnestolendas
anduvistes	anduvistes
cubierto	cubierto
con	con
una	una
tablita	tablita
dando	dando
a	a
besar	besar
a	a
las	las
gentes	gentes
	,
diziendo	diciendo
	:
	«
dad	Dad
pa	para
santa	Santa
luzia	Lucía
	»

y	Y
esto	esto
es	es
tan	tan
antiguo	antiguo
en	en
mi	mí
q	que
ya	ya
de	de
no	no
podello	poderlo
çufrir	sufrir
me	me
atrebi	atreví
a	a
descubrirme	descubrirme
a	a
Vm	VM

y	Y
por	por
tan	--
tanto	tanto
	,
señor	señor
	,
aveys	habéis
de	de
venir	venir
	;
pues	pues
que	que
sienpre	siempre
	,
s	señor
	,
aveys	habéis
echo	hecho
por	por
mi	mí
	,
en	en
esto	esto
aveys	habéis
de	de
azer	hacer
y	y
perder	perder
la	la
vida	vida
porque	porque
salga	salga
d	de
esta	esta
prision	prisión
y	y
salga	salga
con	con
mi	mi
onRa	honra
d	de
esta	esta
carzel	cárcel

solo	Sólo
me	me
consuela	consuela
y	y
harta	harta
la	la
vista	vista
d	de
esta	esta
carta	carta
	,
con	con
la	la
esplicaçion	explicación
que	que
me	me
da	da
de	de
su	su
venida	venida
	,
y	y
la	la
que	que
el	el
sr	señor
mi	mi
tio	tío
me	me
escribe	escribe

ho	Hermano
svidor	servidor
	,
alvo	Álvaro
vaaz	Vaz
de	de
fonseca	Fonseca
señor	Señor
hero	hermano

no	No
se	se
ofreçe	ofrece
otra	otra
cosa	cosa
	,
mas	mas
si	sí
que	que
le	le
pido	pido
y	y
ruego	ruego
no	no
me	me
olbide	olvide
y	y
mire	mire
a	a
esta	esta
su	su
esclaba	esclava
q	que
mui	muy
desamparada	desamparada
esta	está
	,
y	y
sus	sus
hijos	hijos
	,
que	que
lo	lo
esperamos	esperamos

la	La
carta	carta
de	de
vasmds	VMs
	,
Reze	--
con	con
la	la
qual	cual
Rezevi	recibí
mucho	mucho
descaso	descanso
y	y
alegria	alegría
con	con
las	las
vuenas	buenas
nuebas	nuevas
q	que
vasmds	VMs
me	me
an	han
enviado	enviado
y	y
en	en
saber	saber
qu	que
estan	están
buenos	buenos
	,
anque	aunque
mi	mi
ermano	hermano
esta	está
mui	muy
travajado	trabajado
con	con
sus	sus
quartanas	cuartanas

parezeme	Paréceme
	,
señores	señores
	,
que	que
no	no
puedo	puedo
acavar	acabar
nada	nada
con	con
este	este
juez	juez
	,
qu	que
es	es
de	de
los	los
mas	más
malos	malos
ombres	hombres
que	que
ay	hay
en	en
el	el
mundo	mundo
	,
que	que
no	no
se	se
me	me
quiere	quiere
enevir	inhibir
asta	hasta
ver	ver
la	la
sentenzia	sentencia

mira	Mirad
	,
señor	señor
	,
que	que
jimon	Jimón
no	no
se	sé
d	de
el	él
desde	desde
a	ha
deziocho	dieciocho
d	de
este	este
mes	mes
y	y
no	no
se	sé
si	si
es	es
ydo	ido
alla	allá
a	a
saber	saber
esto	esto

un	Un
ho	hermano
	,
ju	Juan
peres	Pérez
	,
tiene	tiene
a	a
luisico	Luisico
consigo	consigo
	,
donde	donde
le	le
regalan	regalan
como	como
a	a
hijo	hijo

de	De
m	Medina
del	del
campo	Campo
	,
d	de
esta	esta
casa	casa
de	de
vm	VM
	,
a	a
27	27
de	de
mayo	mayo
1585	1585

vestras	Vuestras
cartas	cartas
recebimos	recibimos
el	el
no	número
de	de
nobenta	noventa
y	y
siete	siete
	,
en	en
que	que
recebimos	recibimos
mucho	mucho
contento	contento
en	en
ver	ver
que	que
nuestro	Nuestro
señor	Señor
os	os
yzo	hizo
tanta	tanta
merced	merced
en	en
sacaros	sacaros
a	a
puerto	puerto
de	de
caridad	caridad

y	Y
agora	ahora
que	que
dios	Dios
llevo	llevó
al	al
s	señor
vincente	Vicente
portonarys	Portonaris
	,
q	que
proveya	proveía
a	a
vm	VM
y	y
al	al
s	s
trevino	Treviño
	,
si	si
se	se
quisieren	quisieren
servir	servir
de	de
mi	mí
me	me
avisen	avisen
y	y
m	me
embye	envíe
vm	VM
las	las
memas	memorias
que	que
fuere	fuere
servido	servido
	,
que	que
yo	yo
procurare	procuraré
hazer	hacer
lo	lo
posible	posible
	,
como	como
vm	VM
mereze	merece
y	y
yo	yo
devo	debo
y	y
contento	contento

y	Y
mi	mi
voluntad	voluntad
es	es
que	que
mande	mande
vm	VM
bender	vender
los	los
libros	libros
que	que
van	van
en	en
caxa	caja
enteramente	enteramente
	,
sin	sin
poner	poner
ni	ni
quitar	quitar
d	de
ellas	ellas
libros	libros
ningunos	ningunos
que	que
van	van
en	en
la	la
dicha	dicha
mra	mercadería

y	Y
lo	lo
que	que
d	de
ellas	ellas
procediere	procediere
	,
pagado	pagado
vm	VM
de	de
su	su
provision	provisión
y	y
responsion	responsión
	,
como	como
es	es
costumbre	costumbre
	,
y	y
renbolso	reembolso
de	de
los	los
fletes	fletes
y	y
gastos	gastos
que	que
en	en
ello	ello
vm	VM
hiçiere	hiciere
	,
lo	lo
demas	demás
sera	será
servido	servido
de	de
me	me
lo	lo
remitir	remitir
con	con
la	la
primera	primera
flota	flota
o	o
navios	navíos
que	que
por	por
aca	acá
binieren	vinieren
	,
y	y
vm	VM
los	los
rreparta	reparta
en	en
los	los
mas	más
navios	navíos
que	que
le	le
pareçiere	pareciere
y	y
pudiere	pudiere
	,
porque	porque
corramos	corramos
menos	menos
riesgo	riesgo

y	Y
pues	pues
mi	mi
deseo	deseo
es	es
tan	tan
linpio	limpio
supco	suplico
a	a
Vm	VM
me	me
la	la
haga	haga
	,
aunq	aunque
yo	yo
no	no
lo	lo
merezca	merezca
	,
de	de
Responderme	responderme
a	a
esta	ésta
porq	porque
yo	yo
me	me
pueda	pueda
aclarar	aclarar
mas	más

Señora	Señora
madre	madre
y	y
S	señor
ermano	hermano
y	y
ermana	hermana

y	Y
encargallo	encargarlo
a	a
ella	ella
que	que
lo	lo
aga	haga
y	y
a	a
mi	mi
tio	tío

nuestro	Nuestro
senór	Señor
,	--
la	la
muy	muy
maga	magnífica
psona	persona
de	de
vm	VM
guarde	guarde
muchos	muchos
as	años
	,
como	como
deseo	deseo
para	para
mi	mí

	¡
o	Oh
	,
hermana	hermana
mya	mía
y	y
my	mi
amada	amada
en	en
ihu	Ihesu
xpo	XPO
mas	más
q	que
yo	yo
se	sé
dezir	decir
	!
	¡
o	Oh
	,
hija	hija
de	de
mys	mis
etrañas	entrañas
	!
	¿
q	Qué
entendymyeto	entendimiento
basta	basta
a	a
te	te
manyfestar	manifestar
lo	lo
q	que
my	mi
anyma	ánima
te	te
desea	desea
	?
desfallesçe	Desfallecen
los	los
sentydos	sentidos
y	y
no	no
falta	falta
syno	sino
dar	dar
el	el
espiritu	espíritu
al	al
señor	Señor
para	para
q	que
el	él
lo	lo
arte	harte

y	Y
acõsejaos	aconsejaos
cõ	con
un	un
buẽ	buen
letrado	letrado

y	Y
eso	eso
haze	haced
y	y
no	no
otra	otra
cosa	cosa

Digo	digo
que	que
si	si
vm	VM
gustasse	gustase
de	de
tomarme	tomarme
y	y
comprar	comprar
por	por
su	su
quenta	cuenta
toda	toda
esta	esta
cargaçon	cargazón
	,
pues	pues
son	son
tan	tan
buenos	buenos
libros	libros
y	y
muchos	muchos
nuevos	nuevos
	,
en	en
ello	ello
Recibira	recibirá
mrd	merced
y	y
plazer	placer

Y	Y
si	si
acaso	acaso
mateo	Mateo
del	del
canto	Canto
	,
mi	mi
cuñado	cuñado
	,
que	que
creo	creo
se	se
bolbera	volverá
en	en
esta	esta
flota	flota
	,
pidiere	pidiere
algo	algo
a	a
vm	VM
por	por
mi	mi
cuenta	cuenta
	,
no	no
se	se
le	le
de	dé
cosa	cosa
alguna	alguna
	,
porque	porque
esta	ésta
es	es
mi	mi
voluntad	voluntad

Ilte	Ilustre
señor	señor

en	En
ella	ella
va	va
que	que
de	dé
parte	parte
--	--
--	--
a	a
vasmds	VMs
d	de
ella	ella
	,
y	y
le	le
envio	envío
a	a
llamar	llamar
que	que
venga	venga
con	--
con	con
vos	vos
para	para
que	que
se	se
de	dé
orden	orden
en	en
mi	mi
salida	salida
	;
porque	porque
	,
si	si
vasmds	VMs
no	no
vienen	vienen
	,
en	en
toda	toda
mi	mi
vida	vida
me	me
puedo	puedo
livrar	librar

atrebome	Atrévome
ya	ya
a	a
V	vuestra
m	merced
porq	porque
ya	ya
no	no
ay	hay
para	para
q	qué
tener	tener
cosa	cosa
encubierta	encubierta
entre	entre
los	los
dos	dos
	,
pues	pues
Emos	hemos
de	de
ser	ser
un	un
ser	ser

y	y
de	de
todo	todo
lo	lo
proçedido	procedido
me	me
avisara	avisará
vm	VM
por	por
duplicadas	duplicadas
cartas	cartas
con	con
las	las
primeras	primeras
comodidades	comodidades
	,
como	como
dho	dicho
es	es

Y	Y
porque	porque
juan	Juan
voyer	Boyer
	,
mi	mi
sobrino	sobrino
	,
escrivira	escribirá
a	a
vm	VM
desde	desde
sevilla	Sevilla
largamente	largamente
	,
no	no
tengo	tengo
que	qué
deçir	decir
mas	mas
de	de
que	que
vm	VM
me	me
mande	mande
en	en
que	qué
sirba	sirva
	,
porque	porque
lo	lo
are	haré
como	como
las	las
obras	obras
lo	lo
mostraran	mostrarán
y	y
nro	Nuestro
señor	Señor
ettc	etc

que	Que
sea	sea
nuestro	Nuestro
s	Señor
alavado	alabado
d	de
ello	ello
	,
por	por
todo	todo
sea	sea
para	para
su	su
sto	santo
servo	servicio

yo	Yo
hiçe	hice
borrar	borrar
aquella	aquella
palabra	palabra
de	de
su	su
carta	carta
pa	para
que	que
no	no
entendiese	entendiese
ninguno	ninguno
que	que
vm	VM
abria	habría
tal	tal
pensamiento	pensamiento

nuestro	Nuestro
sr	Señor
traiga	traiga
a	a
vm	VM
a	a
esta	esta
casa	casa
y	y
tiera	tierra
	,
donde	donde
le	le
espero	espero
cada	cada
dia	día
	,
ora	hora
y	y
momentos	momentos
con	con
suspiros	suspiros
	,
y	y
le	le
dar	dar
la	la
salud	salud
que	que
yo	yo
deseo	deseo
y	y
emos	hemos
menester	menester

y	Y
tanbien	también
se	se
caso	casó
Anto	Antonio
de	de
medina	Medina
	(
fue	fue
hijo	hijo
de	de
ju	Juan
de	de
ma	Medina
	)
con	con
hija	hija
de	de
loçano	lozano
curtidor	curtidor

yo	Yo
estoi	estoy
buena	buena
	,
loado	loado
dios	Dios
	,
y	y
lo	lo
quedado	quedado
tal	tal
que	que
	,
si	si
quando	cuando
de	de
mi	mí
se	se
partio	partió
yo	yo
me	me
hallara	hallara
tal	tal
	,
no	no
fuera	fuera
sin	sin
mi	mi
consentimiento	consentimiento
ni	ni
del	del
de	de
sus	sus
hijos	hijos

Con	Con
esta	esta
armada	armada
enbio	envío
a	a
vm	VM
quarenta	cuarenta
cajas	cajas
de	de
libros	libros
de	de
dibersas	diversas
facultades	facultades
que	que
ban	van
todos	todos
muy	muy
bien	bien
enquadernados	encuadernados
	;
que	que
la	la
memoria	memoria
futura	futura
d	de
ellos	ellos
	,
de	de
lo	lo
que	que
montan	montan
	,
mi	mi
sobrino	sobrino
juan	Juan
voyer	Boyer
	,
de	de
sevilla	Sevilla
	,
enbiara	enviará
a	a
vm	VM
desde	desde
sevilla	Sevilla
	,
El	el
qual	cual
enbie	envié
alla	allá
solamente	solamente
para	para
haçer	hacer
las	las
cargas	cargas
	,
las	las
quales	cuales
mandara	mandará
vm	VM
bender	vender
con	con
toda	toda
brebedad	brevedad
y	y
diligençia	diligencia
posible	posible

Veo	Veo
el	el
concejo	consejo
que	que
vm	VM
me	me
da	da
de	de
que	que
	,
a	a
lo	lo
venidero	venidero
	,
no	no
embye	envíe
mas	más
de	de
asta	hasta
una	una
dozena	docena
de	de
cajas	cajas
	,
y	y
esto	esto
rrepartido	repartido
en	en
dos	dos
cargaçones	cargazones
asortidas	asortidas

y	Y
que	que
es	es
muy	muy
abonado	abonado
dicho	dicho
senor	señor
trevino	Treviño
	,
y	y
que	que
en	en
el	él
tengo	tengo
mi	mi
deuda	deuda
segura	segura
	,
a	a
lo	lo
qual	cual
respondo	respondo
que	que
acepto	acepto
todo	todo
quanto	cuanto
vm	VM
dize	dice
a	ha
hecho	hecho

y	Y
porque	porque
	,
como	como
digo	digo
	,
no	no
se	se
puede	puede
ynovar	innovar
en	en
nada	nada
esta	esta
venta	venta
	,
para	para
que	que
quede	quede
contento	contento
y	y
no	no
quejoso	quejoso
yo	yo
le	le
hare	haré
de	de
graçia	gracia
por	por
ello	ello
alguna	alguna
honesta	honesta
refacion	refacción
en	en
la	la
primera	primera
memoria	memoria
que	que
por	por
su	su
quenta	cuenta
me	me
pedira	pedirá
	,
porque	porque
jamas	jamás
nadie	nadie
con	con
quien	quien
e	he
tratado	tratado
se	se
a	ha
quejado	quejado
de	de
my	mí
	,
ni	ni
aum	aun
tampoco	tampoco
con	con
raçon	razón
tiene	tiene
d	de
estarlo	estarlo
dicho	dicho
s	señor
trevino	Treviño
.	,
Al	al
qual	cual
entregara	entregará
vm	VM
dosçientos	doscientos
pliegos	pliegos
de	de
una	una
cosa	cosa
misma	misma
que	que
van	van
con	con
esta	ésta
	,
para	para
que	que
cada	cada
pliego	pliego
se	se
ponga	ponga
en	en
las	las
200	200
biblias	biblias
de	de
la	la
dicha	dicha
cargaçon	cargazón
	;
porq	porque
los	los
ssenores	señores
del	del
consejo	consejo
supremo	supremo
de	de
la	la
sa	Santa
ynquisicion	Inquisición
	,
y	y
las	las
universidades	universidades
	,
y	y
quantos	cuantos
doctos	doctos
ay	hay
en	en
españa	España
la	la
an	han
vuelto	vuelto
a	a
ver	ver
de	de
nuevo	nuevo
y	y
	,
por	por
quitar	quitar
scrupulos	escrúpulos
	,
han	han
echo	hecho
la	la
expurgacion	expurgación
d	de
este	este
dicho	dicho
pliego	pliego
	,
pq	porque
con	con
ello	ello
nadie	nadie
boquee	boquee
sobre	sobre
esto	esto
	,
que	que
es	es
bueno	bueno
y	y
Santo	santo

La	La
de	de
vm	VM
de	de
8	8
de	de
noviembre	noviembre
pasado	pasado
1584	1584
e	he
rrecibido	recibido
	,
en	en
respuesta	respuesta
de	de
otras	otras
mias	mías
	,
y	y
con	con
ellas	ellas
me	me
holgué	holgué
muy	muy
mucho	mucho
por	por
saver	saber
de	de
la	la
salud	salud
de	de
vm	VM
y	y
de	de
la	la
buena	buena
llegada	llegada
de	de
la	la
nao	nao
de	de
Franco	Francisco
Espinola	Espínola
con	con
las	las
quarenta	cuarenta
caxas	cajas
de	de
libros	libros
que	que
embye	envié
a	a
vm	VM
por	por
mi	mi
cuenta	cuenta
	;
que	que
	,
segun	según
los	los
infortunios	infortunios
que	que
aviron	habiron
en	en
dicha	dicha
flota	flota
	,
me	me
puedo	puedo
llamar	llamar
venturoso	venturoso
en	en
aver	haber
llegado	llegado
lo	lo
dicho	dicho
con	con
bien	bien

y	Y
plega	plega
a	a
dios	Dios
que	que
sea	sea
para	para
qu	que
este	este
triste	triste
y	y
aflecido	afligido
coraçon	corazón
sienta	sienta
algun	algún
alibio	alivio

en	En
mucha	mucha
md	merced
reçibo	recibo
los	los
amores	amores
de	de
ella	ella
	,
aunq	aunque
vienen	vienen
aguados	aguados
con	con
palabras	palabras
que	que
no	no
las	las
mereço	merezco

por	Por
aca	acá
no	no
ay	hay
cosa	cosa
nueva	nueva
de	de
que	que
avisaros	avisaros

En	En
lo	lo
qual	cual
procedera	procederá
vm	VM
	,
comforme	conforme
mi	mi
orden	orden
dado	dado
a	a
vm	VM
	,
en	en
el	el
embiarlo	enviarlo
mandandolo	mandándolo
repartir	repartir
en	en
tres	tres
ò	o
quatro	cuatro
navios	navíos
	,
registrado	registrado
en	en
el	el
registro	registro
de	de
su	Su
mag	Majestad
todo	todo
	,
como	como
conviene	conviene
	,
y	y
dios	Dios
lo	lo
traya	traiga
en	en
bien	bien

y	Y
no	no
ai	hay
q	que
ynovar	innovar
la	la
venta	venta
ny	ni
se	se
gana	gana
en	en
ello	ello
quasi	casi
nada	nada
para	para
poder	poder
hazer	hacer
rrefaçion	refacción
al	al
s	señor
trevino	Treviño
	,
como	como
le	le
sirvo	sirvo
aqui	aquí
	,
incluso	incluso
largamente	largamente

y	Y
	,
confiado	confiado
que	que
vm	VM
me	me
hara	hará
la	la
mrd	merced
	,
no	no
digo	digo
mas	más
por	por
esta	ésta
sino	sino
q	que
vm	VM
me	me
mande	mande
como	como
a	a
muy	muy
su	su
servidor	servidor
	,
aficionado	aficionado
que	que
de	de
vm	VM
soy	soy

y	Y
es	es
menester	menester
que	que
la	la
lleveys	llevéis
a	a
cavezas	Cabezas
del	del
billar	Villar
	,
porqu	porque
es	es
otro	otro
obispado	obispado
	,
anque	aunque
se	se
gaste	gaste
quanto	cuanto
ay	hay

y	Y
escrevi	escribí
esta	ésta
porque	porque
no	no
tengo	tengo
mas	más
qu	que
escrevir	escribir
a	a
vasmds	VMs
ni	ni
avisar	avisar
mas	más
de	de
lo	lo
que	que
va	va
en	en
ellas	ellas
y	y
en	en
la	la
de	de
mi	mi
tio	tío
ni	ni
tengo	tengo
mas	más
de	de
escrevir	escribir
d	de
estas	éstas
	,
sino	sino
que	que
vasmds	VMs
lo	lo
agan	hagan
como	como
va	va
en	en
ellas	ellas

y	Y
vos	vos
	,
señor	señor
	,
que	que
vengays	vengáis
con	con
el	él
en	en
todas	todas
maneras	maneras
	,
porque	porque
mas	más
podremos	podremos
dos	dos
que	que
no	no
uno	uno

Las	Las
duçientas	doscientas
biblias	biblias
de	de
batablo	Vatablo
que	que
ban	van
ynclusas	inclusas
en	en
las	las
dichas	dichas
quarenta	cuarenta
cajas	cajas
vm	VM
las	las
venda	venda
muy	muy
bien	bien
	,
porque	porque
asta	hasta
que	que
vm	VM
alla	allá
las	las
aya	haya
bendido	vendido
yo	yo
no	no
bendere	venderé
ni	ni
dare	daré
a	a
persona	persona
alguna	alguna
ninguna	ninguna
	;
porque	porque
todas	todas
las	las
que	que
ay	hay
las	las
tengo	tengo
en	en
mi	mi
poder	poder
y	y
	,
asta	hasta
saver	saber
vm	VM
las	las
a	ha
bendido	vendido
	,
por	por
ningun	ningún
dinero	dinero
dare	daré
ni	ni
bendere	venderé
ninguna	ninguna
porque	porque
	,
como	como
dicho	dicho
es	es
	,
vm	VM
benda	venda
bien	bien
las	las
dichas	dichas
biblias	biblias

nuevas	Nuevas
de	de
oran	Orán
tenemos	tenemos
muy	muy
Ruynes	ruines
	:
qu	que
esta	está
cercado	cercado
por	por
mar	mar
y	y
por	por
tierra	tierra
	;
y	y
q	que
los	los
moros	moros
anvian	habían
tomado	tomado
un	un
fuerte	fuerte
a	a
los	los
xpianos	cristianos
y	y
en	en
el	el
tomar	tomar
murieron	murieron
mas	más
de	de
dos	dos
mil	mil
turcos	turcos
y	y
moros	moros
	,
y	y
xpanos	cristianos
murieron	murieron
CC	CC
honvres	hombres
y	e
hirieron	hirieron
otros	otros
tantos	tantos
	;
y	y
conbatian	combatían
a	a
macalquibil	Mazalquivir

y	Y
dalsela	dádsela
a	a
mi	mi
tio	tío

y	Y
ansi	así
yo	yo
teinida	tenida
por	por
tal	tal
mal	mal
me	me
olbidase	olvidase
de	de
poner	poner
	,
tanto	tanto
quise	quise
que	que
vayamos	vayamos

vestra	Vuestra
ermana	hermana
maria	María
se	se
os	os
encomienda	encomienda
mucho	mucho
	,
que	que
ya	ya
esta	está
echa	hecha
mujer	mujer
	,
para	para
que	que
se	se
os	os
acuerde	acuerde
d	de
ella	ella
y	y
no	no
la	la
olvideis	olvidéis

y	Y
los	los
dineros	dineros
q	que
procedieren	procedieren
de	de
lo	lo
dicho	dicho
	,
todo	todo
ello	ello
si	si
es	es
possible	posible
	,
si	si
se	se
an	han
vendido	vendido
	,
como	como
confio	confío
en	en
dios	Dios
	,
por	por
ser	ser
	,
como	como
digo	digo
	,
buena	buena
mra	mercadería
	;
y	y
donde	donde
no	no
	,
lo	lo
q	que
d	de
ello	ello
se	se
oviere	hubiere
vendido	vendido
	,
si	si
no	no
fuere	fuere
todo	todo
	,
me	me
lo	lo
mande	mande
vm	VM
embiar	enviar
A	a
my	mí
	,
benito	Benito
boyer	Boyer
	,
Registrado	registrado
en	en
los	los
Registros	registros
de	de
su	Su
mg	Majestad
	,
Repartido	repartido
el	el
dinero	dinero
en	en
tres	tres
o	o
quatro	cuatro
navios	navíos
con	con
la	la
presente	presente
