solo	Sólo
sido	sido
tan	tan
azelerada	acelerada
que	que
no	no
diese	diese
lugr	lugar
a	a
la	la
dispusicion	disposición
de	de
sus	sus
cossas	cosas
	,
para	para
escusar	excusar
los	los
acçidentes	accidentes
que	que
han	han
sobrevenido	sobrevenido
pa	para
Mayor	mayor
aogo	ahogo
de	de
Vm	VM
e	e
Yrreparables	irreparables
rrespecto	respecto
no	no
ser	ser
obrados	obrados
mas	más
que	que
com	con
Prevençion	prevención
de	de
Justhizia	justicia
	,
sin	sin
que	que
en	en
ello	ello
haya	haya
tenido	tenido
ynterbençion	intervención
D	don
Dieo	Diego
	,
mi	mi
sor	señor
	,
pues	pues
estava	estaba
ausente	ausente

quiera	Quiera
Dios	Dios
nuestro	Nuestro
senor	Señor
que	que
esta	ésta
llegue	llegue
a	a
las	las
manos	manos
de	de
vmd	VM
i	y
le	le
alle	halle
con	con
la	la
salud	salud
que	que
io	yo
para	para
mi	mí
deseio	deseo
en	en
l	la
amable	amable
compania	compañía
De	de
mi	mi
ermana	hermana
i	y
maria	María
teresa	Teresa
i	y
de	de
señor	señor
	,
a	a
quien	quien
Beso	beso
las	las
manos	manos
mui	muy
en	en
particular	particular

unos	Unos
dicen	dicen
q	que
un	un
portuges	portugués
tubo	tuvo
palabras	palabras
con	con
un	un
pastelero	pastelero
q	que
vibia	vivía
a	a
el	el
lado	lado
de	de
la	la
carneceria	carnicería
	,
i	y
q	que
el	el
portuges	portugués
amenaco	amenazó
al	al
pastelero	pastelero
	;
mas	mas
lo	lo
cierto	cierto
es	es
q	que
los	los
mocos	mozos
del	del
pastelero	pastelero
	,
callentando	calentando
el	el
horno	horno
	,
sacaron	sacaron
la	la
lena	leña
ardiendo	ardiendo
	,
no	no
mirando	mirando
lo	lo
q	que
hacian	hacían
	,
i	y
pegose	pegose
a	a
los	los
andamios	andamios

oy	Hoy
e	he
sabido	sabido
q	que
las	las
a	ha
tomado	tomado
y	y
quisiera	quisiera
saver	saber
si	si
esta	está
ay	ahí
el	el
dho	dicho
sr	señor
Franco	Francisco
Gomez	Gómez
	,
q	que
lo	lo
estimase	estimase
mucho	mucho

q	Que
pr	por
estar	estar
ocupado	ocupado
Con	con
unos	unos
ssres	señores
en	en
vezita	vezita
	,
a	a
cuya	cuya
ocan	ocasión
,	--
llego	llegó
dho	dicho
Brdo	Bernardo
	,
y	y
prq	porque
se	se
andaba	andaba
quejando	quejando
de	de
q	que
alla	allá
yn	in
ilo	illo
tempore	tempore
mi	mi
hijo	hijo
el	el
Clerigo	clérigo
le	le
Avian	habían
ofrecido	ofrecido
unos	unos
Cerros	cerros
,	,
le	le
di	di
dho	dicho
Rl	real
de	de
A	a
ocho	ocho
.	--
pa	para
Pollar	poyar

Las	Las
dos	dos
cartas	cartas
q	que
hechava	echaba
menos	menos
,	--
recibi	recibí
,	--
una	una
tras	tras
otra	otra
en	en
01	01
de	de
Agto	agosto
y	y
en	en
31	31
de	de
Julio	julio

i	Y
si	si
no	no
a	ha
benido	venido
el	el
señor	señor
juachin	Joaquín
para	para
el	el
corpus	corpus
	,
usted	usted
llegue	llegue
al	al
tal	tal
cura	cura
i	y
digale	dígale
que	que
	,
en	en
viniendo	viniendo
	,
lo	lo
daran	darán
sin	sin
falta	falta

y	Y
caragoza	Zaragoza
	,
a	a
15	15
de	de
Henero	enero
1634	1634
Tu	Tu
tio	tío
dieguo	Diego
Lebrero	Librero
Hermana	Hermana
isabel	Isabel
ximenez	Jiménez

Llegando	Llegando
aqui	aquí
	,
me	me
dijo	dijo
el	el
portador	portador
no	no
hallaba	hallaba
en	en
que	qué
ir	ir
y	y
dejose	dejose
la	la
ida	ida
hasta	hasta
oy	hoy
savado	sábado
a	a
las	las
seis	seis
,	,
y	y
tanpoco	tampoco
a	ha
avido	habido
nada	nada

S	Señor
Barme	Bartolomé
Lopez	López
Telles	Telles

no	No
vos	vos
escribo	escribo
mas	más
largo	largo
Porque	porque
fuera	fuera
un	un
pruseder	proceder
infinito	infinito

No	No
entiendo	entiendo
lo	lo
que	que
me	me
dizes	dices
de	de
Martin	Martín
de	de
Arparron	Arparrón
	,
porque	porque
fue	fue
pe	padre
de	de
don	don
Pedro	Pedro
Arparron	Arparrón
y	y
este	este
don	don
Pedro	Pedro
andubo	anduvo
essa	esa
carrera	carrera
por	por
capellan	capellán
de	de
un	un
nabio	navío

mucho	Mucho
me	me
espante	espanté
quando	cuando
estube	estuve
en	en
esse	ese
lugar	lugar
	,
que	que
haviendo	habiendo
conçertado	concertado
de	de
çenar	cenar
juntos	juntos
la	la
noche	noche
siguiente	siguiente
	,
despues	después
que	que
ubimos	hubimos
comido	comido
no	no
cumplio	cumplió
su	su
palabra	palabra

El	El
cacao	cacao
subio	subió
aqui	aquí
de	de
90	90
pl	placas
hasta	hasta
120	120
el	el
ciento	ciento
	,
que	que
servira	servirá
de	de
aviso	aviso
a	a
vm	VM
si	si
tuviere	tuviere
algo	algo
d	de
ello	ello
a	a
vender	vender

i	Y
puede	puede
porque	porque
sabe	sabe
mui	muy
bien	bien
lo	lo
que	que
ustedes	ustedes
saben	saben
i	y
le	le
tengo	tengo
detenido	detenido
para	para
que	que
no	no
lo	lo
aga	haga

de	De
alli	allí
a	a
sinco	cinco
dias	días
	,
dho	dicho
ssr	señor
Dn	don
Barme	Bartolomé
me	me
dijo	dijo
junto	junto
a	a
nuestra	Nuestra
señora	Señora
de	de
Atocha	Atocha
que	que
el	el
testimonio	testimonio
no	no
balia	valía
nada	nada
	,
porque	porque
mi	mi
cunado	cuñado
AnBrosio	Ambrosio
de	de
Pegda	Peguda
avia	había
puesto	puesto
algunas	algunas
palabras	palabras
que	que
no	no
eran	eran
del	del
casso	caso
	,
por	por
donde	donde
colegimos	colegimos
que	que
anda	anda
frio	frío
en	en
quererlo	quererlo
aser	hacer

i	Y
dentro	dentro
de	de
su	su
pliego	pliego
remito	remito
la	la
presente	presente
para	para
que	que
la	la
embie	envíe
a	a
vmd	VM
	,
a	a
quien	quien
gude	guarde
dios	Dios
como	como
deseo	deseo

diceme	Díceme
Juan	Juan
estava	estaba
vega	Vega
mal	mal
conmigo	conmigo
	,
de	de
que	que
no	no
Le	le
avia	había
ido	ido
a	a
ver	ver
la	la
mujer	mujer

Ocaña	Ocaña
	,
a	a
9	9
de	de
mayo	mayo
de	de
1661	1661

los	Los
ingleses	ingleses
no	no
se	se
atrevieron	atrevieron
en	en
ningunas	ningunas
de	de
las	las
tres	tres
batallas	batallas
a	a
pelear	pelear
el	el
segundo	segundo
dia	día
,	,
y	y
nunca	nunca
quisieron	quisieron
pelear	pelear
sin	sin
ser	ser
forçados	forzados

Dios	Dios
ge	guarde
a	a
Vm	VM
m	muchos
a	años
como	como
desseo	deseo

mas	Mas
quiso	quiso
la	la
virjen	Vírgen
Santisimisa	Santísima
de	de
la	la
soledad	Soledad
sacarme	sacarme
com	con
bien	bien
	,
aunq	aunque
con	con
dos	dos
años	años
de	de
destierro	destierro
de	de
essa	esa
corte	corte
Y	y
d	de
esta	esta
Çiudad	ciudad

que	Que
quedan	quedan
por	por
aver	haber
en	en
ellas	ellas
algunas	algunas
de	de
fianças	fianzas
que	que
a	a
rrenovarense	renovárense
no	no
quereran	querrán
quedar	quedar
otra	otra
ves	vez
a	a
ello	ello

sienpre	Siempre
quedava	quedaba
yndesiso	indeciso
la	la
materia	materia
y	y
	,
biniendo	viniendo
absuluta	absoluta
la	la
orden	orden
del	del
consejo	consejo
	,
quiebra	quiebra
los	los
animos	ánimos
a	a
los	los
contrarios	contrarios

y	Y
si	si
piensan	piensan
que	que
por	por
este	este
negocio	negocio
le	le
an	han
de	de
quitar	quitar
la	la
capellania	capellanía
	,
bien	bien
engañados	engañados
	,
que	que
para	para
eso	eso
era	era
menester	menester
que	que
hubiera	hubiera
otros	otros
contrarios	contrarios
diferentes	diferentes
que	que
ellos	ellos

y	Y
le	le
doy	doy
orden	orden
,	--
para	para
que	que
	,
sienpre	siempre
que	que
Ud	usted
necesitare	necesitare
de	de
confesarse	confesarse
con	con
el	el
P	padre
fr	fray
Carlos	Carlos
del	del
espiritu	Espíritu
sto	Santo
,	--
y	y
se	se
lo	lo
pidiere	pidiere
a	a
la	la
Me	Madre
Priora	priora
	,
se	se
lo	lo
invie	invíe
a	a
llamar	llamar

siend	Siendo
lo	lo
que	que
se	se
me	me
ofrece	ofrece
	,
ruego	ruego
n	Nuestro
s	Señor
guarde	guarde
a	a
vm	VM
largos	largos
y	y
felices	felices
años	años
como	como
deseo	deseo

sentire	Sentiré
mucho	mucho
sea	sea
falta	falta
de	de
salud	salud

y	Y
adbierta	advierta
que	que
estos	éstos
yo	yo
los	los
entregare	entregaré
aqui	aquí
para	para
quando	cuando
Vm	VM
benga	venga
a	a
las	las
cosechas	cosechas
de	de
Peteiro	Peteiro

y	Y
tanbien	también
me	me
dixo	dijo
muy	muy
agradecido	agradecido
como	como
vm	VM
le	le
havia	había
enbiado	enviado
çincuenta	cincuenta
Por	por
muertos	Muertos
(	(
aunq	aunque
a	a
el	él
le	le
dieron	dieron
la	la
vida	vida
)	)
para	para
su	su
trabaxo	trabajo

no	No
passo	pasó
nada	nada
por	por
el	el
poco	poco
comsoncion	consunción
que	que
ay	hay
en	en
los	los
paños	paños

Ambrosio	Ambrosio
no	no
escrive	escribe

no	No
se	se
ofrese	ofrece
otra	otra
cosa	cosa
de	de
que	que
abisar	avisar
a	a
vmd	VM
	,
cuia	cuya
vida	vida
gude	guarde
dios	Dios
como	como
deseo	deseo

a	A
la	la
qual	cual
respondi	respondí
diesse	diese
su	su
mrd	merced
a	a
sus	sus
hijos	hijos
quanto	cuanto
tubiesse	tuviese
	—
hasta	hasta
la	la
camisa	camisa
que	que
tray	trae
puesta	puesta
	,
si	si
esa	ésa
era	era
neçesaria	necesaria
	—
	,
y	y
qu	que
esto	esto
se	se
viniese	viniese
asistida	asistida
de	de
un	un
hijo	hijo
o	o
u	un
hermano	hermano
;	;
conque	conque
de	de
la	la
repetizon	repetición
de	de
su	su
mrd	merced
no	no
saco	saco
mas	más
que	que
fastidio	fastidio
y	y
provocazon	provocación
a	a
que	que
lo	lo
intente	intente
	,
lo	lo
que	que
asta	hasta
aora	ahora
no	no
avia	había
querido	querido
hacer	hacer
,	,
aunque	aunque
me	me
expusiera	expusiera
a	a
la	la
mayor	mayor
tolerancia	tolerancia
que	que
en	en
el	el
siglo	siglo
y	y
entre	entre
casados	casados
se	se
puede	puede
padecer	padecer

Md	Madrid
	,
a	a
20	20
de	de
Julio	julio
de	de
1675	1675

no	No
le	le
cansara	cansará
	,
y	y
la	la
persona	persona
que	que
se	se
le	le
encargue	encargue
dho	dicho
negozio	negocio
que	que
le	le
rresponda	responda
a	a
Vm	VM
pa	para
que	que
se	se
sepa	sepa
;	;
y	y
que	que
avise	avise
tambien	también
como	cómo
se	se
llama	llama
el	el
cura	cura
de	de
dha	dicha
via	villa
	,
por	por
si	si
se	se
ofreze	ofrece
escrivirle	escribirle

escribi	Escribí
a	a
nra	nuestra
madre	madre
para	para
q	que
me	me
avisasen	avisasen
si	si
abia	había
alguna	alguna
cosa	cosa
particular	particular
para	para
escribirla	escribirla
,	--
y	y
solo	sólo
me	me
dice	dice
el	el
Pe	padre
Abad	Abad

vsia	VSa
lo	lo
traçe	trace
de	de
suerte	suerte
que	que
pueda	pueda
bolver	volver
con	con
buenas	buenas
nuevas	nuevas
de	de
su	su
salud	salud
y	y
Aviso	aviso
de	de
lo	lo
q	que
ay	hay
y	y
manda	manda
por	por
aca	acá
se	se
haga	haga

Bernardo	Bernardo
Portelo	Portelo

su	Su
ermana	hermana
de	de
vmd	VM
esta	está
en	en
napueles	Nápoles
con	con
su	su
marido	marido
,	,
que	que
llevo	llevó
de	de
caudal	caudal
3000	3000
ducados	ducados
,	,
y	y
lo	lo
pasa	pasa
alla	allá
muy	muy
bien	bien

es	Es
cierto	cierto
	,
mi	mi
Padre	padre
comendador	comendador
	,
que	que
el	el
matrimonio	matrimonio
en	en
el	el
sentir	sentir
de	de
las	las
perssnas	personas
con	con
quien	quien
lo	lo
e	he
comunicado	comunicado
es	es
balido	válido
,	,
si	si
bien	bien
acia	hacia
mi	mí
era	era
preçisso	preciso
Invalidarle	invalidarle
en	en
casso	caso
de	de
continuarle	continuarle

q	Que
fue	fue
tanto	tanto
el	el
gusto	gusto
q	que
rresibio	recibió
en	en
ssaber	saber
Vm	VM
estaba	estaba
aqui	aquí
q	que
lo	lo
isso	hizo
	,
aunq	aunque
estaba	estaba
con	con
la	la
tersiana	terciana
i	y
con	con
frio	frío
disiendo	diciendo
q	que
se	se
olgara	holgara
tanto	tanto
de	de
aber	haber
bisto	visto
a	a
Vm	VM
como	como
si	si
fuera	fuera
io	yo
mismo	mismo

Mi	Mi
Me	madre
Antonia	Antonia
Teresa	Teresa

confiado	Confiado
estoi	estoy
de	de
buestra	vuestra
prudensia	prudencia
y	y
buen	buen
sujeto	sujeto

able	Hablé
despues	después
habra	habrá
quinçe	quince
dias	días
a	a
Po	Pedro
ximenez	Jiménez
en	en
chancilla	chancillería
y	y
dixome	díjome
que	que
dentro	dentro
de	de
dos	dos
dias	días
partia	partía
de	de
aqui	aquí
persa	persona
del	del
adelantamo	adelantamiento
que	que
lleba	lleva
recados	recados
para	para
ratificar	ratificar
testigos	testigos
y	y
hacer	hacer
otras	otras
diligas	diligencias

el	El
portador	portador
lleba	lleva
dos	dos
quezos	quesos
de	de
flandez	Flandes
pa	para
el	el
Amigo	amigo
Don	don
Ambrocio	Ambrosio
,	,
y	y
uno	uno
Con	con
la	la
Caja	caja
de	de
pedazos	pedazos
pa	para
ssa	señora
Da	doña
Antonia	Antonia

aya	Haya
paz	paz
y	y
salud	salud
	,
que	que
si	si
dios	Dios
fuere	fuere
servido	servido
bien	bien
nos	nos
yra	irá

En	En
Ocaña	Ocaña
me	me
dixo	dijo
nr	nuestro
d	divino
p	padre
Provl	provincial
lo	lo
q	que
pasava	pasaba
y	y
supli	suplicó
q	que
sacase	sacase
a	a
V	vuestra
R	reverenda
de	de
donde	donde
estava	estaba
,	,
q	que
ya	ya
tenia	tenía
su	su
Ra	reverenda
ese	ese
intento	intento

Entretanto	Entretanto
	,
me	me
informare	informaré
de	de
los	los
generos	géneros
que	que
pide	pide
vm	VM
y	y
los	los
comprare	compraré
a	a
lo	lo
mejor	mejor
que	que
fuere	fuere
pusible	posible
para	para
mayor	mayor
beneficio	beneficio
de	de
vm	VM
	,
atendiendo	atendiendo
de	de
tener	tener
buena	buena
mercaduria	mercancía
al	al
menor	menor
precio	precio
y	y
los	los
mas	más
barato	barato
que	que
pudiere	pudiere

a	A
mi	mí
me	me
espanto	espantó
bolber	volver
a	a
escribille	escribirle
a	a
vmd	VM
	,
pues	pues
me	me
debe	debe
tantas	tantas
respuestas	respuestas
	,
de	de
mas	más
de	de
bente	veinte
si	si
no	no
son	son
mas	más

esto	Esto
es	es
lo	lo
que	que
paso	pasó

estos	Éstos
estan	están
en	en
poder	poder
de	de
Luis	Luis
albares	Álvarez

el	El
ser	ser
el	el
tienpo	tiempo
para	para
mis	mis
trabajos	trabajos
largo	largo
me	me
dad	da
lugar	lugar
a	a
enfadar	enfadar
a	a
Vmd	VM

y	Y
quando	cuando
preguntaren	preguntaren
por	por
mi	mí
dade	dale
de	de
mi	mi
parte	parte
mis	mis
bessamanos	besamanos

quedo	Quedo
confiado	confiado
ara	hará
Vmd	VM
lo	lo
que	que
pudiere	pudiere
dolyendose	dolíendose
de	de
my	mí

un	Un
menystro	ministro
de	de
La	la
fabrica	fábrica
De	de
ganada	Granada
yra	irá
por	por
ty	ti
antes	antes
oy	hoy
que	que
no	no
mañana	mañana
a	a
tu	tu
costa	costa

y	Y
	,
pues	pues
que	que
sirve	sirve
en	en
madril	Madrid
	,
servira	servirá
en	en
agreda	Ágreda

y	Y
recoxa	recoja
al	al
pie	pie
	,
de	de
mi	mí
firmado	firmado
	,
el	el
recebo	recibo
pa	para
la	la
qta	cuenta
de	de
mi	mi
credito	crédito

un	Un
criado	criado
havia	había
partido	partido
con	con
disfraçes	disfraces
nuevos	nuevos
y	y
cartas	cartas
a	a
personas	personas
	,
para	para
procurar	procurar
darlas	darlas
	,
q	que
con	con
esta	ésta
yran	irán
	,
y	y
topo	topó
al	al
portador	portador
d	de
esta	ésta
en	en
Alcorcon	Alcorcón
	,
dos	dos
leguas	leguas
de	de
aqui	aquí
	,
y	y
se	se
bolvio	volvió

gde	Guarde
dios	Dios
a	a
vmd	VM
con	con
la	la
salud	salud
que	que
deseo	deseo

mala	Mala
venida	venida
venga	venga
con	con
ellos	ellos
y	y
dios	Dios
les	les
de	dé
el	el
cusseso	suceso
que	que
les	les
deseo	deseo

santa	Santa
cruz	Cruz
	,
Julio	julio
12	12
de	de
625	625

vmd	VM
	,
como	como
entendido	entendido
	,
sabra	sabrá
llevar	llevar
este	este
golpe	golpe
,	,
pues	pues
no	no
dudo	dudo
a	ha
sido	sido
grande	grande
para	para
vmd	VM
,	,
y	y
sera	será
muy	muy
sensible	sensible
por	por
la	la
falta	falta
que	que
ha	ha
de	de
hacer	hacer

tu	Tu
Herma	hermana
que	que
mas	mas
dessea	desea
berte	verte
que	que
escribirte	escribirte
	,
Grazosa	Graciosa
de	de
laucien	Lucién
y	y
loperena	Loperena
hermano	Hermano
mio	mío

y	Y
ansi	así
estamos	estamos
yo	yo
y	y
Ambrosio	Ambrosio
por	por
el	el
coreo	correo
que	que
biene	viene
a	a
remitir	remitir
el	el
testimonio	testimonio
de	de
todo	todo
lo	lo
obrado	obrado
	,
de	de
todo	todo
el	el
pleyto	pleito
d	de
esta	esta
dependencia	dependencia
	;
y	y
	,
juntamente	juntamente
	,
Remitir	remitir
al	al
agente	agente
los	los
cinco	cinco
Rs	reales
de	de
a	a
ocho	ocho
que	que
Vmd	VM
me	me
mando	mandó
Por	por
la	la
mosa	moza

aga	Haga
vmd	VM
por	por
ver	ver
a	a
mi	mi
señora	señora
d	de
antonia	Antonia
i	y
darle	darle
mis	mis
encomiendas	encomiendas
i	y
que	que
tengo	tengo
mucho	mucho
deseo	deseo
de	de
berle	verle

esto	Esto
es	es
lo	lo
que	que
por	por
hora	ahora
parecio	pareció
combeniente	conveniente
despues	después
de	de
algunas	algunas
conferencias	conferencias
,	,
en	en
que	que
este	esté
v	vuestra
R	reverenda
muy	muy
cierta	cierta
se	se
attendio	atendió
mucho	mucho
al	al
consuelo	consuelo
,	--
y	y
iusticia	justicia
de	de
v	vuestra
R	reverenda
;	--
y	y
que	que
tiene	tiene
los	los
coraçones	corazones
de	de
todos	todos
NN	nuestros
P	padres
P	provinciales
muy	muy
compasibos	compasivos
,	,
y	y
el	el
mio	mío
muy	muy
particularmte	particularmente

q	Que
por	por
la	la
misericordia	misericordia
de	de
Dios	Dios
nro	nuestro
linaje	linaje
bien	bien
limpio	limpio
,	--
y	y
claro	claro
es	es
	,
como	como
a	a
todos	todos
es	es
notorio	notorio

dios	Dios
gde	guarde
a	a
Vmrd	VM

a	Ha
passado	pasado
por	por
los	los
muchos	muchos
cargos	cargos
de	de
esta	esta
republica	república
y	y
en	en
todos	todos
a	ha
cumplido	cumplido
con	con
su	su
obligacion	obligación
muy	muy
bien	bien

y	Y
no	no
aguardes	aguardes
a	a
que	que
bayan	vayan
a	a
eso	eso

rrespondio	Respondió
que	que
io	yo
que	que
pagava	pagaba
100	100
a	a
100	100
i	y
que	que
el	él
mandava	mandaba
50	50

Izavel	Isabel
Roiz	Rodríguez
.	»

.	--
de	De
vmd	VM
	,
Franco	Francisco
Rz	Rodríguez
deva	Deva
Portelo	Portelo

jonio	Junio
19	19
de	de
90	90

la	La
causa	causa
de	de
andar	andar
corto	corto
	,
si	si
acasso	acaso
lo	lo
andube	anduve
	,
fue	fue
la	la
vrevedad	brevedad
con	con
que	que
el	el
caPitan	capitán
	,
mi	mi
señor	señor
	,
dispuso	dispuso
su	su
buelta	vuelta

de	De
Vmd	VM

y	Y
para	para
mi	mí
es	es
quedaren	quedar
de	de
peor	peor
calidad	calidad
	,
por	por
quanto	cuanto
muebles	muebles
y	y
Haciendas	haciendas
es	es
lo	lo
mismo	mismo
que	que
nada	nada
	,
que	que
aun	aún
estoi	estoy
diviendo	debiendo
La	la
letra	letra
que	que
inbie	envié

Por	Por
la	la
grande	grande
abundancia	abundancia
que	que
ay	hay
d	de
estos	estos
generos	géneros
aqui	aquí
	,
no	no
fue	fue
medio	medio
despachao	despachado
los	los
otros	otros

y	Y
pasando	pasando
por	por
billafrea	Villafrea
vi	vi
esta	esta
carta	carta
y	y
a	a
ella	ella
satisfago	satisfago
d	de
esta	esta
manera	manera

entretanto	Entretanto
espero	espero
que	que
el	el
negocio	negocio
ira	irá
poco	poco
a	a
poco	poco
restaurandose	restaurándose
	,
nuestras	nuestras
cosas	cosas
comiencen	comiencen
aqui	aquí
a	a
tomar	tomar
otra	otra
via	vía
del	del
passado	pasado

gde	Guarde
Dios	Dios

que	Que
io	yo
no	no
falto	falto
con	con
ellas	ellas

y	Y
así	así
te	te
buelbo	vuelvo
a	a
suplicar	suplicar
	,
por	por
la	la
madre	madre
de	de
dios	Dios
i	y
por	por
la	la
pasion	pasión
de	de
dios	Dios
	,
no	no
te	te
olbides	olvides
de	de
mi	mí
en	en
estas	estas
desdichas	desdichas
	,
que	que
si	si
las	las
bieras	vieras
	,
aunque	aunque
fueras	fueras
de	de
piedra	piedra
	,
te	te
mobiera	moviera
a	a
lastima	lástima

y	Y
echa	hecha
la	la
dha	dicha
obligaçion	obligación
en	en
esta	esta
conformidad	conformidad
	,
se	se
hagan	hagan
los	los
despachos	despachos
y	y
se	se
nombrara	nombrará
juez	juez

y	Y
sin	sin
estos	éstos
otros	otros
muchos	muchos

ansi	Así
me	me
tiene	tiene
v	vuestra
R	reverenda
con	con
toda	toda
la	la
boluntad	voluntad
prompta	pronta
pa	para
todo	todo
lo	lo
que	que
podiese	pudiese
influir	influir
y	y
ayudar	ayudar
a	a
su	su
maior	mayor
consuelo	consuelo
,	,
y	y
en	en
esto	esto
puede	puede
estar	estar
certissima	certísima

Gracias	Gracias
a	a
dios	Dios
que	que
he	he
tenido	tenido
notiçias	noticias
de	de
tu	tu
salud	salud
y	y
la	la
de	de
tu	tu
hermano	hermano
pedro	Pedro
	,
que	que
la	la
con	con
el	el
ansia	ansia
que	que
puedes	puedes
conssiderar	considerar
	,
pues	pues
ha	ha
tantos	tantos
años	años
que	que
no	no
sabia	sabía
cossa	cosa
alguna	alguna
y	y
en	en
mi	mi
conssiderazion	consideración
Os	os
he	he
encomendado	encomendado
a	a
dios	Dios
por	por
difuntos	difuntos

aviseme	Avíseme
vmd	VM
si	si
rrimito	remito
la	la
carta	carta
que	que
deje	dejé
para	para
el	el
aldea	aldea
	,
que	que
estimare	estimaré
vaya	vaya
a	a
su	su
mano	mano

y	Y
es	es
necessario	necesario
testimonio	testimonio
del	del
scrivano	escribano
del	del
Ayuntamiento	ayuntamiento
d	de
ella	ella
en	en
que	que
diga	diga
y	y
de	dé
fee	fe
q	que
los	los
dhos	dichos
bienes	bienes
no	no
los	los
tengo	tengo
vendidos	vendidos
ni	ni
enajenados	enajenados
	,
sino	sino
qu	que
estan	están
en	en
ser	ser
	;
y	y
que	que
no	no
estan	están
obligados	obligados
a	a
nada	nada
	,
sino	sino
que	que
son	son
libres	libres
de	de
toda	toda
carga	carga
e	e
ypoteca	hipoteca
:	;
y	y
que	que
tengo	tengo
poder	poder
general	general
pa	para
Hacer	hacer
y	y
deshacer	deshacer
d	de
ellos	ellos

y	Y
no	no
dudo	dudo
daran	darán
a	a
Vm	VM
satisfazon	satisfacción
en	en
tomando	tomando
mejor	mejor
estado	estado
las	las
cosas	cosas
,	--
y	y
haziendo	haciendo
dinero	dinero
de	de
la	la
Hazda	hacienda
q	que
quedo	quedó
,	,
de	de
q	que
se	se
trata	trata
de	de
acer	hacer
almoneda	almoneda
para	para
pagar	pagar
a	a
todos	todos

mis	Mis
conssexos	consejos
pueden	pueden
ymportar	importar
muy	muy
poco	poco
	,
por	por
ser	ser
de	de
una	una
pobre	pobre
muger	mujer

gde	Guarde
Dios	Dios
a	a
vmd	VM
muchos	muchos
años	años

B	Besa
l	la
M	mano
de	de
vmd	VM
	,
Jorxe	Jorge
Baron	Barón
Domgo	Domingo
de	de
Sta	Santa
Marina	Marina

i	Y
bos	vos
suplico	suplico
	,
por	por
amor	amor
de	de
los	los
Dos	dos
	,
me	me
enBieis	enviéis
unas	unas
echuras	hechuras
de	de
nuestra	Nuestra
señora	Señora
de	de
la	la
soledad	Soledad
con	con
el	el
milagro	milagro
del	del
raio	rayo
	,
como	como
lo	lo
teniamos	teníamos
pensado	pensado
	,
que	que
sera	será
esta	ésta
la	la
ultima	última
dadiba	dádiva
que	que
espero	espero
de	de
vuestra	vuestra
mano	mano

la	La
copia	copia
quedome	quedome
este	este
partido	partido
consumida	consumida
en	en
los	los
lugares	lugares
y	y
sobranme	sóbranme
cosa	cosa
de	de
60	60
lb	libras
para	para
quiebras	quiebras
	,
y	y
el	el
lugar	lugar
que	que
valdra	valdrá
50	50
lb	libras
	,
que	que
servira	servirá
pa	para
baxas	bajas
de	de
los	los
que	que
fueren	fueren
acabando	acabando
	,
de	de
que	que
me	me
doi	doy
por	por
satisfecho	satisfecho

Baiona	Bayona
	,
27	27
de	de
diciembre	diciembre
1655	1655

de	De
todos	todos
ellos	ellos
an	han
llevado	llevado
tavaco	tabaco
eceto	excepto
uno	uno
que	que
esta	está
d	de
aqui	aquí
13	13
leguas	leguas
	,
a	a
donde	donde
ia	ya
fui	fui
y	y
deje	dejé
rrecado	recado
por	por
escrito	escrito
a	a
que	que
viniesen	viniesen

advierto	Advierto
que	que
	,
siendo	siendo
casso	caso
que	que
de	de
aqui	aquí
se	se
me	me
pide	pide
alguna	alguna
carta	carta
de	de
creditto	crédito
para	para
vmd	VM
	,
que	que
tanto	tanto
que	que
la	la
rricibiere	recibiere
ha	ha
de	de
procurar	procurar
de	de
que	que
no	no
le	le
buelvan	vuelvan
a	a
topar	topar
ni	ni
que	que
sepan	sepan
la	la
cassa	casa
	,
que	que
aora	ahora
me	me
livre	libré
de	de
una	una
buena	buena
acerça	acerca
de	de
dar	dar
carta	carta

en	En
lo	lo
del	del
alcanze	alcance
de	de
las	las
qtas	cuentas
q	que
Vm	VM
me	me
dize	dice
	,
Alonso	Alonso
Gomez	Gómez
le	le
avisara	avisará
del	del
motivo	motivo
q	que
tubo	tuvo
mi	mi
hermano	hermano
pa	para
la	la
suspension	suspensión
de	de
la	la
satisfazion	satisfacción
y	y
lo	lo
q	que
esta	está
liquidado	liquidado
por	por
alcanze	alcance
en	en
la	la
quenta	cuenta
q	que
Vm	VM
dio	dio
por	por
su	su
Padre	padre
	;
esta	está
inclusa	inclusa
en	en
el	el
ymbentario	inventario
de	de
deudas	deudas
q	que
dejo	dejó
el	el
Conde	conde
	,
mi	mi
sor	señor
y	y
mi	mi
hermno	hermano
	,
para	para
q	que
se	se
paguen	paguen
de	de
su	su
hazda	hacienda
	,
que	que
se	se
anda	anda
beneficiando	beneficiando
para	para
dar	dar
satisfazion	satisfacción
a	a
todos	todos
los	los
acrehedores	acreedores

y	Y
Vm	VM
puede	puede
estar	estar
çierta	cierta
lo	lo
experimentara	experimentará
en	en
qto	cuanto
yo	yo
valiere	valiere
para	para
todo	todo
lo	lo
que	que
fuere	fuere
de	de
las	las
combenas	conveniencias
de	de
Vm	VM
y	y
su	su
hixo	hijo

d	De
esta	esta
casa	casa
de	de
