Effter	Efter
ähr	är
,	,
att	att
Mårthen	Mårthen
såleedess	således
svaradhe	svarade
,	,
och	och
att	att
han	han
iempte	jämte
Mårthen	Mårthen
ledde	ledde
oxen	oxen
i	i
Stalledt	Stallet
,	,
och	och
tog	tog
sin	sin
khooss	kos
Spanmålen	Spannmålen
,	,
flere	flera
vittnen	vittnen
förmeente	förmenade
sig	sig
här	herr
Nillss	Nillss
kunna	kunna
afstadh	avstad
komma	komma
om	om
så	så
behöfvess	behövs
Bleef	Blev
effter	efter
tidigt	tidigt
betenkiande	betänkande
affsagt	avsagt
,	,
1	1
att	att
emedan	emedan
här	herr
Nillss	Nillss
intet	intet
fulleligen	fulleligen
viste	visste
huilkom	vilken
Oxen	Oxen
tillhördhe	tillhörde
2	2
hafuer	har
han	han
honom	honom
kiöpt	köpt
med	med
vinn	vinn
och	och
vittnom	vittnom
,	,
hvarföre	varför
skall	skall
kiöpet	köpet
stånda	stånda
,	,
medan	medan
thet	det
Lagligit	Lagligt
ähr	är
.	.
	
Och	Och
Oloff	Oloff
Andersson	Andersson
hafuer	har
tillståndh	tillstånd
att	att
söökia	söka
sin	sin
brodher	broder
Mårthen	Mårthen
,	,
som	som
ähnnu	ännu
lefuer	lever
,	,
och	och
uthföra	utföra
Saaken	Saken
emoth	emot
honom	honom
,	,
om	om
han	han
ohemult	ohemult
sålt	sålt
hafuer	har
.	.
22	22
.	.
	
upsteeg	uppsteg
för	för
Rätten	Rätten
välbetrodde	välbetrodde
Jonas	Jonas
Bureus	Bureus
Junior	Junior
till	till
Yla	Yla
etc.	etc.
påminnandess	påminnandes
Nembden	Nämnden
om	om
dett	det
tuistighe	tvistiga
ährendet	ärendet
som	som
länghe	länge
här	här
uthj	uti
Rätten	Rätten
hängt	hängt
haffuer	har
,	,
emillan	emellan
hanss	hans
Fadher	Fader
på	på
den	den
eena	ena
sijdhan	sidan
,	,
khärande	kärande
,	,
:	:
och	och
Edel	Ädel
och	och
välborne	välborne
Jacob	Jacob
Fårbetz	Fårbetz
etc.	etc.
på	på
den	den
andra	andra
sijdhan	sidan
,	,
svarande	svarande
,	,
ahnlangande	anlangande
tuenne	två
Såghequarn	Sågkvarnar
,	,
som	som
bemälte	bemälde
Fårbetz	Fårbetz
hafuer	har
för	för
siu	sju
åhrss	års
tijdh	tid
sedhan	sedan
uprätta	upprätta
låtit	låtit
uthi	uti
een	en
Strööm	Ström
Elgfhorss	Elgfhorss
benemnd	benämnd
,	,
huilken	vilken
han	han
förmeenar	förmenar
med	med
rätta	rätta
lydha	lyda
under	under
Bännebool	Bännebool
;	;
men	men
välbetrodde	välbetrodde
Bureus	Bureus
,	,
samt	samt
Såtterboerne	Såtterboerne
,	,
ther	där
han	han
och	och
äghande	ägande
ähr	är
,	,
hafva	har
stadigt	stadigt
prætenderat	pretenderat
bemälte	bemälda
Fårss	Fors
vara	vara
belägin	belägen
på	på
bemälte	bemälda
Såtterbyess	Såtterbyess
äghor	ägor
,	,
:	:
	
När	När
Nembden	Nämnden
när	när
Synen	Synen
höltz	hölls
skulle	skulle
som	som
Lag	Lag
sägher	säger
sig	sig
förklara	förklara
,	,
begäradhe	begärde
Bureus	Bureus
dilation	dilation
för	för
någre	några
vittnen	vittnen
skull	skull
som	som
intet	intet
tillstädess	tillstädes
vore	vore
,	,
och	och
om	om
thenne	denna
handell	handel
weettskap	vetskap
hadhe	hade
,	,
thett	det
honom	honom
eij	ej
förvägrass	förvägras
kunde	kunde
.	.
	
Sedhan	Sedan
haffuer	har
Thool	Thool
Thomasson	Thomasson
uthi	uti
Bool	Bool
offta	ofta
och	och
stadigt	stadigt
vittnadt	vittnat
och	och
betygat	betygat
på	på
sin	sin
Sothesängh	Sotesäng
ther	där
han	han
ähnnu	ännu
ligger	ligger
,	,
uthi	uti
Mårthenss	Mårthenss
i	i
Bloka	Bloka
,	,
Anderss	Anderss
Perssonss	Perssonss
i	i
Sotter	Sotter
,	,
och	och
Erichz	Erichz
i	i
Rekinde	Rekinde
Närvaru	Närvaro
,	,
sig	sig
på	på
åttskillighe	åtskilliga
tijdher	tider
hafva	ha
hördt	hört
,	,
först	först
aff	av
sin	sin
Fadherss	Faders
Fadher	Fader
,	,
Thool	Thool
i	i
Gärsta	Gärsta
,	,
Larss	Larss
Erichsson	Erichsson
,	,
och	och
af	av
sin	sin
Fadher	Fader
Thomass	Thomass
ibidem	ibidem
att	att
the	de
hafva	har
sagt	sagt
sigh	sig
intet	intet
annatt	annat
veetha	veta
,	,
ähn	än
att	att
bemälte	bemälda
Elgfhorss	Elgfhorss
haffver	har
lydt	lytt
till	till
bemälte	bemälda
Såtter	Såtter
,	,
item	item
haffver	har
bemälte	bemälde
Larss	Larss
Erichsson	Erichsson
,	,
när	när
om	om
bemälte	bemälda
Forss	Forss
talat	talat
bleef	blev
,	,
sagt	sagt
till	till
bemälte	bemälde
Thool	Thool
,	,
om	om
thu	du
med	med
tijdhen	tiden
får	får
höra	höra
att	att
deett	det
tuistass	tvistas
om	om
Strömen	Strömmen
Elghfårssen	Elghfårssen
,	,
så	så
miness	minns
min	min
ordh	ord
att	att
han	han
lydher	lyder
till	till
Såtter	Såtter
,	,
på	på
denne	denne
hanss	hans
Eedelige	Edliga
bekennellse	bekännelse
tillbudho	tillbjöd
the	de
sin	sin
Eedh	Ed
afläggia	avlägga
.	.
	
khäradhe	kärade
befallningzman	befallningsman
till	till
Mårthen	Mårthen
Nempningeman	Nämndeman
uthi	uti
Faringe	Faringe
Sochn	Socken
om	om
fem	fem
tunnor	tunnor
kyrkiotijende	kyrkotionde
för	för
åhret	året
1634	1634
,	,
begärandhess	begärandes
vetta	veta
hvartt	vart
the	de
ähre	är
lefvereradhe	levererade
,	,
han	han
svaradhe	svarade
sig	sig
dem	dem
hafva	ha
fördt	fört
till	till
Forssmark	Forssmark
den	den
24	24
Martij	Martij
,	,
och	och
befallningzmannen	befallningsmannen
derpå	därpå
qvittentien	kvittensen
lefvererat	levererat
,	,
han	han
neekadhe	nekade
der	där
till	till
,	,
eij	ej
häller	heller
hadhe	hade
Mårthen	Mårthen
derpå	därpå
någodt	något
vittne	vittne
derhooss	därhos
,	,
derhooss	därhos
sadhe	sade
befallningzman	befallningsman
om	om
han	han
bemälte	bemälda
qvittenss	kvittens
bekommidt	bekommit
hadhe	hade
ähr	är
det	det
förkommith	förkommet
.	.
	
Dirich	Dirich
Keijser	Keijser
appellerade	appellerade
etc.	etc.
doch	dock
eij	ej
å	å
Lagmanss	Lagmans
tinge	ting
som	som
strax	strax
sedhan	sedan
höltz	hölls
,	,
sitt	sitt
vaadh	vad
fullfölgdhe	fullföljde
.	.
31	31
.	.
	
Olof	Olof
neekadhe	nekade
sig	sig
der	där
aff	av
vetta	veta
,	,
Per	Per
Jacobsson	Jacobsson
svaradhe	svarade
honom	honom
det	det
måtte	måtte
vetta	veta
,	,
medan	medan
hästen	hästen
var	var
så	så
lång	lång
tijdh	tid
ther	där
,	,
att	att
han	han
dödde	dog
,	,
der	där
hoos	hos
arbetadhe	arbetade
han	han
på	på
een	en
loga	loge
intet	intet
långt	långt
ifrå	ifrån
huset	huset
der	där
hästen	hästen
var	var
:	:
	
Olof	Olof
skööth	sköt
skullen	skulden
på	på
een	en
knecht	knekt
som	som
uthe	ute
ähr	är
,	,
vidh	vid
nampn	namn
Marcus	Marcus
,	,
att	att
han	han
der	där
till	till
orsaken	orsaken
vara	vara
schall	skall
.	.
	
Såleedess	Således
sententierat	sententierat
och	och
afdömbt	avdömt
vara	vara
,	,
så	så
bekrefftess	bekräftas
thenne	denna
Doombook	Dombok
med	med
häradz	härads
Signethe	Signet
,	,
till	till
ytermeera	yttermera
visso	visso
och	och
bekreftellse	bekräftelse
.	.
	
Madz	Madz
Erichsson	Erichsson
ibidem	ibidem
om	om
ett	ett
vågh	våg
leedh	led
som	som
Madz	Madz
uprätta	upprätta
bordhe	borde
vidh	vid
sin	sin
qvarn	kvarn
,	,
medan	medan
Thomassess	Thomassess
qvarn	kvarn
måste	måste
offta	ofta
stana	stanna
uthi	uti
baakvattn	bakvatten
,	,
såframpt	såframt
vågleedhet	vågledet
intet	intet
upsatt	uppsatt
vardher	var
:	:
men	men
allthenstundh	alldenstund
ingenthera	ingendera
Möllnaren	Mjölnaren
var	var
fullmechtigh	fullmäktig
,	,
derhooss	därhos
kundhe	kunde
för	för
detta	detta
eij	ej
häller	heller
rätteligen	rätteligen
Pröffvass	Prövas
huru	hur
stort	stort
hålldampnen	hålldammen
eller	eller
bemälte	bemälda
vågleedh	vågled
ähr	är
ahngelägitt	angeläget
,	,
hvarföre	varför
skola	skola
the	de
bättre	bättre
fullmacht	fullmakt
sig	sig
förskaffa	förskaffa
till	till
lägligare	lägligare
tijdh	tid
,	,
och	och
tå	då
skall	skall
om	om
tuistighe	tvistiga
ährendett	ärendet
Ransaakass	Rannsakas
.	.
39	39
.	.
	
Johan	Johan
Nillsson	Nillsson
beropte	beropade
sigh	sig
på	på
Peer	Peer
Olofzson	Olofzson
i	i
Haghgåål	Haghgåål
som	som
Skiuthet	Skjutet
synth	synat
hafuer	har
och	och
huset	huset
:	:
han	han
svaradhe	svarade
Erichz	Erichz
insaghu	insaga
vara	vara
fåfäng	fåfäng
,	,
ty	ty
om	om
icke	icke
hästen	hästen
hadhe	hade
rändt	ränt
med	med
hänne	henne
,	,
hadhe	hade
hoon	hon
intet	intet
trängt	trängt
sigh	sig
in	in
uthj	uti
ett	ett
sådanth	sådant
lijthet	litet
huuss	hus
,	,
huilket	vilket
och	och
Folk	Folk
sett	sett
hadhe	hade
,	,
elliest	eljest
när	när
Skiuthet	Skjutet
sedhan	sedan
Lågh	Låg
på	på
Marken	Marken
,	,
kom	kom
åter	åter
Erichz	Erichz
häst	häst
och	och
Beeth	Bet
dett	det
ähntå	ändå
illa	illa
:	:
men	men
förra	förra
var	var
Mankan	Mankan
söndher	sönder
bruthen	bruten
i	i
döören	dörren
på	på
huset	huset
,	,
hvaraf	varav
det	det
dödt	dött
bleeff	blev
.	.
	
Jämväl	Jämväl
hafuer	har
Larss	Larss
Cnutzson	Cnutzson
aleena	allena
brukat	brukat
een	en
teegh	teg
som	som
genom	genom
Syn	Syn
för	för
ellefve	elva
åhr	år
sedhan	sedan
vandhz	vanns
ifrå	ifrån
Fingarn	Fingarn
och	och
det	det
för	för
bekostnadhen	bekostnaden
skull	skull
han	han
på	på
synen	synen
ahnvändhe	använde
.	.
tå	då
blef	blev
och	och
när	när
bemälte	bemälde
under	under
Lagman	Lagman
ther	där
var	var
,	,
bemälte	bemälde
Madz	Madz
Grijss	Grijss
halfve	halva
Engess	Ängs
teeg	teg
i	i
lijka	lika
måtto	måtto
tilldömbt	tilldömt
:	:
och	och
vijte	vite
satt	satt
,	,
huilketh	vilket
föregifz	föregivs
Larss	Larss
Cnutzson	Cnutzson
bruthet	brutit
hafva	ha
,	,
i	i
det	det
han	han
med	med
våldh	våld
alleena	allena
teegen	tegen
bärgadhe	bärgade
.	.
52	52
.	.
	
Hustru	Hustru
Charin	Charin
suaradhe	svarade
sig	sig
intet	intet
vara	vara
dess	dess
vållandhe	vållande
uthan	utan
hänness	hennes
häst	häst
som	som
räddat	räddat
bleef	blev
och	och
emoth	emot
hänness	hennes
villia	vilja
skeenadhe	skenade
på	på
hänne	henne
.	.
	
Desse	Dessa
blefve	blev
förlijchte	förlikta
Nembligen	Nämligen
at	att
bemälte	bemälda
hustru	hustru
Charin	Charin
gifuer	ger
hustru	hustru
Elin	Elin
10	10
daler	daler
koppar	koppar
mynth	mynt
.	.
54	54
.	.
	
Tå	Då
befallthe	befallde
och	och
Befallningzmannen	Befallningsmannen
välbetrodde	välbetrodde
Class	Class
Classon	Classon
alla	alla
grannarne	grannarna
uthi	uti
byen	byn
att	att
the	de
broarne	broarna
förfärdigha	förfärdiga
skola	skola
hvar	var
effter	efter
ägho	ägo
sijne	sina
.	.
	
kom	kom
för	för
Rätten	Rätten
Olof	Olof
Ramunder	Ramunder
,	,
och	och
Ratione	Ratione
officij	officij
ahnklagadhe	anklagade
Bönderne	Bönderna
på	på
Gränöön	Gränöön
,	,
som	som
Eek	Ek
huggidt	huggit
haffva	har
till	till
therass	deras
Båtar	Båtar
,	,
och	och
derföre	därför
på	på
dem	dem
Doom	Dom
begäradhe	begärde
:	:
	
bleff	blev
affsagt	avsagt
,	,
att	att
Peer	Peer
i	i
Gränöö	Gränöö
schall	skall
lefverere	leverera
hustru	hustru
Ingridh	Ingridh
i	i
Orthale	Orthale
een	en
fjerding	fjärding
Ströming	Strömming
på	på
det	det
kiöpet	köpet
Han	Han
med	med
hänness	hennes
man	man
giort	gjort
hadhe	hade
om	om
enn	en
Skiötha	Sköta
.	.
	
kom	kom
för	för
Rätten	Rätten
Sigfridh	Sigfridh
i	i
Gåssvijk	Gåssvijk
,	,
och	och
fem	fem
andre	andra
med	med
honom	honom
uthi	uti
Väddeö	Väddeö
Sochn	Socken
huilkass	vilkas
sex	sex
Sönner	Söner
och	och
Måghar	Mågar
unga	unga
och	och
frijska	friska
karlar	karlar
,	,
på	på
Ålandz	Ålands
haf	hav
umkommo	omkom
,	,
enär	enär
the	de
vore	vore
med	med
Nillss	Nillss
Mårtensson	Mårtensson
Charselio	Charselio
i	i
skiutzfärdh	skjutsfärd
åt	åt
Ålandh	Ålandh
.	.
och	och
derföre	därför
besväradhe	besvärade
the	de
sig	sig
alle	alla
accusando	accusando
uthöfuer	utöver
Länssman	Länssman
Nillss	Nillss
Erichsson	Erichsson
,	,
som	som
honom	honom
uthan	utan
Pass	Pass
umlagt	omlagt
hafuer	har
,	,
huilkett	vilket
om	om
han	han
hadhe	hade
Ransakat	Rannsakat
med	med
flijt	flit
,	,
hade	hade
the	de
ähnnu	ännu
som	som
bårtha	borta
blefvo	blev
,	,
varidt	varit
vidh	vid
lijfveth	livet
,	,
medan	medan
Charselio	Charselio
ingen	ingen
omlägning	omläggning
som	som
the	de
meenthe	menade
,	,
bordhe	borde
;	;
Ther	Där
till	till
bemälte	bemälde
Lhenssman	Länsman
svarade	svarade
,	,
att	att
enär	enär
bemälte	bemälde
Charselius	Charselius
ahnhöll	anhöll
hooss	hos
honom	honom
om	om
omlägning	omläggning
hafuer	har
han	han
frågat	frågat
honom	honom
effter	efter
Passet	Passet
,	,
af	av
huilket	vilket
han	han
och	och
enn	en
Copia	Kopia
begäradhe	begärde
effter	efter
välborne	välborne
Landzhöfdingenss	Landshövdingens
Befallningh	Befallning
,	,
Nillss	Nillss
Mårthensson	Mårthensson
svaradhe	svarade
sigh	sig
hafva	ha
sådant	sådant
Pass	Pass
som	som
gäller	gäller
till	till
Landh	Land
och	och
vattn	vatten
,	,
och	och
sändhe	sände
honom	honom
enn	en
copia	kopia
ifrå	ifrån
Gåssvijk	Gåssvijk
,	,
och	och
förra	förra
ähn	än
Lhänssman	Länsman
fick	fick
den	den
låta	låta
för	för
sigh	sig
upläsa	uppläsa
var	var
han	han
sin	sin
khooss	kos
,	,
Passet	Passet
hadhe	hade
välborne	välborne
Mälchior	Mälchior
von	von
Falkenbärgh	Falkenbärgh
uthgifuidt	utgivit
,	,
vijdare	vidare
kunde	kunde
för	för
detta	detta
häruthinnan	härutinnan
intet	intet
procederass	procederas
,	,
medan	medan
bemälte	bemälde
Charselius	Charselius
intet	intet
tillstädess	tillstädes
var	var
:	:
uthan	utan
allenast	allenast
Khäranden	Käranden
häruppå	häruppå
Bevijss	Bevis
medhdeelt	meddelat
till	till
välborne	välborne
Landzhöfdingenss	Landshövdingens
Resolution	Resolution
om	om
bemälte	bemälda
Pass	Pass
.	.
57	57
.	.
	
kom	kom
för	för
Rätten	Rätten
Anderss	Anderss
Jönsson	Jönsson
i	i
Biörnhollmen	Biörnhollmen
och	och
khäradhe	kärade
till	till
här	herr
Madz	Madz
Johansson	Johansson
i	i
Lindrijss	Lindrijss
om	om
tijo	tio
daler	daler
söllfuermynthe	silvermynt
,	,
huilka	vilka
han	han
honom	honom
ländt	länt
hadhe	hade
,	,
och	och
begäradhe	begärde
fördenskull	fördenskull
för	för
detta	detta
sin	sin
betallning	betalning
:	:
gällen	gällen
giordhess	gjordes
för	för
13	13
åhr	år
sedhan	sedan
.	.
	
Nu	Nu
kunde	kunde
för	för
detta	detta
häruthinnan	härutinnan
intet	intet
vijdare	vidare
procederes	procederas
,	,
medan	medan
bemälte	bemälde
svarande	svarande
intet	intet
tillstädess	tillstädes
var	var
,	,
Såsom	Såsom
och	och
eij	ej
häller	heller
the	de
vittnen	vittnen
som	som
bemälte	bemälda
hustru	hustru
Charin	Charin
sig	sig
på	på
beropte	beropade
som	som
sågho	såg
när	när
Perlementhet	Parlamentet
ahngick	angick
,	,
här	här
med	med
gafz	gavs
hänne	henne
bevijss	bevis
der	där
med	med
att	att
sökia	söka
Hans	Hans
Nåde	Nåd
Landzhöfdingen	Landshövdingen
,	,
och	och
ahnholla	anhålla
att	att
bemälte	bemälde
Michill	Michill
ett	ett
Säkert	Säkert
Leigdhe	Lejde
bekomma	bekomma
måtte	måtte
.	.
62	62
.	.
	
kom	kom
för	för
Rätten	Rätten
Olof	Olof
Ramundher	Ramundher
,	,
och	och
ahnklagadhe	anklagade
Erich	Erich
Erichsson	Erichsson
i	i
Lindrijss	Lindrijss
på	på
huilkenss	vilkens
äghor	ägor
någre	några
Eeker	Ekar
förbrändhe	förbrända
ähre	är
uthj	uti
ett	ett
Svidie	Svedje
Landh	Land
,	,
Erich	Erich
svaradhe	svarade
hanss	hans
Svåger	Svåger
och	och
Skytte	Skytte
under	under
Skeboo	Skeboo
hafva	ha
hafft	haft
ett	ett
Suidielandh	Svedjeland
,	,
och	och
hvadh	vad
der	där
skett	skett
var	var
,	,
viste	visste
han	han
intet	intet
,	,
uthan	utan
der	där
till	till
må	må
bemälte	bemälde
hanss	hans
svåger	svåger
Jon	Jon
i	i
Sandtorpet	Sandtorpet
svara	svara
,	,
han	han
kunde	kunde
intet	intet
Neeke	Neka
att	att
någre	några
ähre	är
der	där
emoth	emot
hanss	hans
villie	vilja
förbrändhe	förbrända
,	,
tree	tre
Eeker	Ekar
hafva	har
Nembden	Nämnden
funnit	funnit
der	där
aldeeless	alldeles
genom	genom
Svidie	Svedje
Eeldh	Eld
förbrändhe	förbrända
vara	vara
,	,
derföre	därför
Jon	Jon
—	—
40	40
₥	₥
för	för
hvarthera	vartdera
bötha	böta
schall	skall
,	,
effter	efter
Rijcksens	Riksens
stadgar	stadgar
,	,
Oloff	Oloff
Ramunderss	Ramunderss
på	på
sinss	sin
hussbondess	husbondes
vägner	vägnar
Eensaak	Ensak
.	.
	
Men	Men
om	om
Eekarne	Ekarna
på	på
Vredha	Vredha
och	och
Yternäss	Yternäss
äghor	ägor
skall	skall
vijdare	vidare
ransakass	rannsakas
,	,
och	och
ehrfharess	erfaras
till	till
huilkenss	vilkens
behoof	behov
thee	de
Eeker	Ekar
hugne	huggna
ähre	är
,	,
och	och
åtskillias	åtskiljas
det	det
till	till
Crononess	Kronans
Behoof	Behov
hugget	hugget
ähr	är
,	,
Sedhan	Sedan
må	må
Olof	Olof
Ramunder	Ramunder
sökia	söka
på	på
andre	andra
orther	orter
och	och
intet	intet
vijdare	vidare
så	så
längie	länge
dröija	dröja
i	i
denne	denna
tiggia	tigga
Sochn	Socken
och	och
med	med
sijne	sina
långsamma	långsamma
gästningar	gästningar
fattighe	fattigha
allmoghen	allmogen
betunga	betunga
och	och
besvära	besvära
.	.
65	65
.	.
	
kom	kom
för	för
Rätten	Rätten
hustru	hustru
Valborgh	Valborgh
uthj	uti
Össby	Össby
i	i
Broo	Broo
Sochen	Socken
och	och
gaf	gav
tillkänna	tillkänna
sig	sig
på	på
sinss	sin
barnss	barns
vägner	vägnar
,	,
och	och
effter	efter
sin	sin
Salighe	Saligha
Man	Man
Haanss	Haanss
Hansson	Hansson
som	som
för	för
Rijksens	Riksens
Fiender	Fiender
blijfvin	bliven
ähr	är
,	,
vara	vara
äghande	ägande
till	till
—	—
3½	3½
öresslandh	öresland
Jordh	Jord
uthi	uti
bemälte	bemälda
Össby	Össby
,	,
der	där
Jönss	Jönss
Mårthensson	Mårthensson
åboor	åbor
,	,
Lijkväll	Likväl
tillfoghar	tillfogar
bemälte	bemälde
Jönss	Jönss
hänne	henne
stortt	stort
inpass	inpass
:	:
och	och
derhooss	därhos
vill	vill
tuinga	tvinga
hänne	henne
ifrå	ifrån
heemaneth	hemmanet
,	,
alledess#1	alldeles
:	:
dher	där
till	till
Jönss	Jönss
neekadhe	nekade
;	;
och	och
effter	efter
som	som
han	han
ägher	äger
meera	mera
der	där
i	i
gårdhen	gården
som	som
ähr	är
—	—
5	5
½	½
öresslandh	öresland
förmeenthe	förmenade
han	han
sig	sig
genom	genom
lössn	lösen
komma	komma
hänne	henne
derifrå	därifrån
,	,
effter	efter
Såsom	Såsom
ViceLagmanss	ViceLagmans
Doomen	Domen
uthgifvin	utgiven
aff	av
välborne	välborne
Erich	Erich
Geeth	Geeth
uthvijsar	utvisar
,	,
doch	dock
blef	blev
såleedess	således
för	för
detta	detta
afskeedhatt	avskedat
,	,
att	att
medan	medan
bemälte	bemälda
hustru	hustru
Valborgz	Valborgz
Man	Man
ähr	är
nylighen	nyligen
som	som
bemält	bemält
ähr	är
bårtha	borta
blijfven	bliven
,	,
hänness	hennes
barn	barn
omyndigt	omyndigt
,	,
och	och
hon	hon
Eensöriande	Ensörjande
,	,
skall	skall
hoon	hon
nu	nu
som	som
tillförende	tillförende
åthniuta	åtnjuta
,	,
det	det
hoon	hon
aff	av
heemaneth	hemmanet
innehafuer	innehar
,	,
till	till
dess	dess
antingen	antingen
hoon	hon
bättre	bättre
försedd	försedd
blijfuer	blir
,	,
eller	eller
och	och
barnet	barnet
tillväxt	tillväxt
,	,
doch	dock
Crononess	Kronans
Rättigheeth	Rättighet
förbehollen	förbehållen
,	,
och	och
vijthe	vite
till	till
—	—
40	40
₥	₥
sattess	sattes
them	dem
emillan	emellan
,	,
them	dem
thensamma	densamma
skall	skall
uthan	utan
genseijellse	gensägelse
ehrläggia	erlägga
,	,
som	som
androm	andra
inpass	inpass
tillfogar	tillfogar
,	,
eller	eller
träthor	trätor
förorsakar	förorsakar
:	:
	
Vijdare	Vidare
berättadhe	berättade
Nembden	Nämnden
,	,
att	att
den	den
Doomen	Domen
bemälte	bemälde
Lagman	Lagman
uthgifuidt	utgivit
hadhe	hade
skedde	skedde
intet	intet
in	in
Foro	Foro
Competenti	Competenti
,	,
uthan	utan
uthi	uti
Väddöö	Väddöö
Sochn	Socken
,	,
tijtt	dit
detta	detta
Häredhet	Häredet
intet	intet
stembdt	stämt
var	var
,	,
mykitt	mycket
mindre	mindre
Nembden	Nämnden
och	och
Hustru	Hustru
Valborgs	Valborgs
Man	Man
som	som
svaranden	svaranden
var	var
och	och
Saaken	Saken
ahngick	angick
.	.
huilket	vilket
blef	blev
annoteradt	annoterat
,	,
och	och
hänne	henne
effter	efter
hänness	hennes
begäran	begäran
Bevijss	Bevis
medhdeelt	meddelat
.	.
68	68
.	.
	
bleef	blev
vällärdhe	vällärde
etc.	etc.
Här	Herr
Anderssess	Anderssess
i	i
Estuna	Estuna
skrijfvellse	skrivelse
för	för
Rätten	Rätten
uppläsin	uppläst
,	,
emoth	emot
Erich	Erich
Jönsson	Jönsson
i	i
Khubärgha	Khubärgha
,	,
huilken	vilken
hadhe	hade
emoth	emot
föregången	föregången
Doom	Dom
och	och
elliest	eljest
förbudh	förbud
underståt	understått
sig	sig
att	att
fhöra	föra
een	en
bodh	bod
ifrå	ifrån
Qvillunda	Qvillunda
heemanedt	hemmanet
det	det
hans	hans
vyrdigheeth	vyrdighet
ägher	äger
:	:
han	han
svarade	svarade
sig	sig
intet	intet
vara	vara
förbudhen	förbjuden
,	,
derföre	därför
schall	skall
här	här
om	om
vijdare	vidare
ransakass	rannsakas
,	,
om	om
Bodhen	Boden
begäradhe	begärde
han	han
dilation	dilation
,	,
till	till
dess	dess
Anderss	Anderss
i	i
Håksbodha	Håksbodha
,	,
huilken	vilken
heemanedt	hemmanet
förre	förre
åbodt	åbott
hadhe	hade
,	,
komer	kommer
tillstädess	tillstädes
,	,
med	med
huilkenss	vilkens
consens	konsens
han	han
föregiffuer	föregiver
sig	sig
Bodhen	Boden
tagidt	tagit
haffva	ha
.	.
70	70
.	.
	
Sidst	Sist
vittnadhe	vittnade
Anderss	Anderss
Erichsson	Erichsson
i	i
Svänsarfva	Svänsarfva
,	,
att	att
han	han
af	av
sin	sin
Syster	Syster
hustru	hustru
Margaretha	Margaretha
i	i
Skepthamarss	Skepthamarss
byen	byn
hört	hört
hafuer	har
,	,
att	att
när	när
Olof	Olof
huggen	huggen
blef	blev
,	,
föll	föll
han	han
vidh	vid
öpin	öppen
in	in
till	till
Hänness	Hennes
fötter	fötter
emoth	emot
någre	några
små	små
Steenar	Stenar
,	,
tå	då
kom	kom
een	en
ung	ung
dräng	dräng
och	och
slog	slog
effter	efter
honom	honom
,	,
och	och
råkadhe	råkade
honom	honom
intet	intet
,	,
men	men
intet	intet
viste	visste
hoon	hon
ehoo	ehoo
den	den
var	var
.	.
	
Tå	Då
tillspordess	tillspordes
Häredz	Härads
Nämbdh	Nämnd
,	,
hvaruppå	varuppå
the	de
sig	sig
grundadhe	grundade
,	,
enär	enär
the	de
iämpte	jämte
underlagmannen	underlagmannen
dömbde	dömde
bemälte	bemälde
Anderss	Anderss
Nillsson	Nillsson
,	,
tillijka	tillika
med	med
hanss	hans
brodher	broder
ifrå	ifrån
lijfveth	livet
,	,
medan	medan
ransakat	rannsakat
ähr	är
,	,
att	att
han	han
intet	intet
hadhe	hade
slagit	slagit
Olof	Olof
Andersson	Andersson
med	med
yxehammaren	yxhammaren
baak	bak
på	på
hufvudhskålen	huvudskålen
,	,
at	att
hiernan	hjärnan
skall	skall
och	och
ther	där
hafva	ha
uthflutheth	utflutit
,	,
The	De
svaradhe	svarade
samptlige	samtliga
tå	då
sig	sig
uthi	uti
hastigheeth	hastighet
intet	intet
annat	annat
Pröfva	Pröva
,	,
eller	eller
142	142
.	.
förnimma	förnimma
kunna	kunna
,	,
ähn	än
att	att
det	det
slaget	slaget
som	som
Anderss	Anderss
först	först
uthgaf	utgav
,	,
som	som
han	han
bekändhe	bekände
drabba	drabba
på	på
Ryggen	Ryggen
,	,
hafva	har
tagit	tagit
baak	bak
på	på
hufvudhet	huvudet
som	som
domen	domen
förmäler	förmäler
,	,
och	och
såledess	således
tillijka	tillika
vara	vara
ett	ett
dödzhugg	dödshugg
,	,
och	och
thet	det
derfhöre	därför
:	:
ty	ty
oftabemälte	oftabemälde
Nillss	Nillss
Peersson	Peersson
begäradhe	begärde
tå	då
in	in
för	för
Rätten	Rätten
,	,
att	att
bemälte	bemälde
bådhe	båda
hanss	hans
Söner	Söner
måtte	måtte
bådhe	båda
tillijka	tillika
svara	svara
till	till
dråpet	dråpet
,	,
huilket	vilket
och	och
Anderss	Anderss
Nillsson	Nillsson
beiakadhe	bejakade
.	.
för	för
andrass	andras
förböön	förbön
skull	skull
som	som
bodho	bjöd
at	att
han	han
sin	sin
brodher	broder
hielpa	hjälpa
ville	ville
,	,
och	och
altså	alltså
præsumeradhe	presumerade
the	de
them	dem
bådhe	båda
hvar	var
sitt	sitt
dödzhugg	dödshugg
uthgifvidt	utgivit
hafva	ha
,	,
:	:
	
Tå	Då
tillspordess	tillspordes
Nills	Nills
Persson	Persson
,	,
hvarfhöre	varför
han	han
sådant	sådant
giorde	gjorde
?	?
han	han
svaradhe	svarade
det	det
skee	ske
af	av
hanss	hans
ringa	ringa
förståndh	förstånd
,	,
och	och
eenfallighet	enfaldighet
,	,
menandess	menandes
ther	där
med	med
så	så
mykit	mycket
